GENESIS-Tabelle: 11111-01-01-5-B
Gebietsstand: Gebietsfläche in qkm - Stichtag 31.12. -;;;;;;;;;
regionale Ebenen;;;;;;;;;
Feststellung des Gebietsstandes;;;;;;;;;
;;31.12.2015;31.12.2014;31.12.2013;31.12.2012;31.12.2011;31.12.2010;31.12.2009;31.12.2008
;;Gebietsfläche;Gebietsfläche;Gebietsfläche;Gebietsfläche;Gebietsfläche;Gebietsfläche;Gebietsfläche;Gebietsfläche
;;qkm;qkm;qkm;qkm;qkm;qkm;qkm;qkm
01001000;Flensburg, krsfr. Stadt;56,74;56,74;56,74;56,74;56,74;56,74;56,74;56,74
01002000;Kiel, krsfr. Stadt;118,65;118,65;118,65;118,65;118,65;118,65;118,65;118,65
01003000;Lübeck, krsfr. Stadt;214,21;214,21;214,21;214,21;214,21;214,21;214,21;214,20
01004000;Neumünster, krsfr. Stadt;71,63;71,63;71,63;71,63;71,63;71,63;71,63;71,63
01051001;Albersdorf;17,12;17,12;17,12;17,12;17,12;17,12;17,12;17,12
01051002;Arkebek;6,92;6,92;6,92;6,92;6,92;6,92;6,92;6,92
01051003;Averlak;9,07;9,07;9,07;9,07;9,07;9,07;9,07;9,07
01051004;Bargenstedt;11,90;11,90;11,90;11,90;11,90;11,90;11,90;11,90
01051005;Barkenholm;5,11;5,11;5,11;5,11;5,11;5,11;5,11;5,11
01051006;Barlt;22,88;22,88;22,88;22,88;22,88;22,88;22,88;22,88
01051008;Bergewöhrden;2,64;2,64;2,64;2,64;2,64;2,64;2,64;2,64
01051010;Brickeln;6,07;6,07;6,07;6,07;6,07;6,07;6,07;6,07
01051011;Brunsbüttel;65,23;65,24;65,24;65,24;65,24;65,24;65,24;65,24
01051012;Buchholz;14,56;14,55;14,55;14,55;14,55;14,55;14,55;14,55
01051013;Büsum;8,48;8,48;8,48;8,48;8,48;8,27;8,27;8,27
01051014;Büsumer Deichhausen;2,87;2,87;2,87;2,87;2,87;2,87;2,87;2,87
01051015;Bunsoh;11,75;11,75;11,75;11,75;11,75;11,75;11,75;11,75
01051016;Burg (Dithmarschen);11,23;11,23;11,23;11,23;11,23;11,23;11,23;11,23
01051017;Busenwurth;10,09;10,09;10,09;10,09;10,09;10,09;10,09;10,09
01051019;Dellstedt;21,77;21,77;21,77;21,77;21,77;21,77;21,77;21,77
01051020;Delve;15,84;15,84;15,84;15,84;15,84;15,84;15,84;15,84
01051021;Diekhusen-Fahrstedt;7,46;7,46;7,46;7,46;7,46;7,46;7,46;7,46
01051022;Dingen;7,02;7,02;7,02;7,02;7,02;7,02;7,02;7,02
01051023;Dörpling;7,82;7,82;7,82;7,82;7,82;7,82;7,82;7,82
01051024;Eddelak;9,21;9,21;9,21;9,21;9,21;9,21;9,21;9,21
01051026;Eggstedt;12,79;12,79;12,79;12,79;12,79;12,79;12,79;12,79
01051027;Elpersbüttel;30,17;30,17;30,17;30,17;30,17;30,17;30,17;30,17
01051028;Epenwöhrden;13,52;13,52;13,52;13,52;13,52;13,52;13,52;13,52
01051030;Fedderingen;9,69;9,69;9,69;9,69;9,69;9,69;9,69;9,69
01051032;Frestedt;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32
01051033;Friedrichsgabekoog;8,62;8,62;8,62;8,62;8,62;8,62;8,62;8,62
01051034;Friedrichskoog;53,35;53,35;53,35;53,35;53,35;53,35;53,35;53,35
01051035;Gaushorn;6,45;6,45;6,45;6,45;6,45;6,45;6,45;6,45
01051036;Glüsing;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69
01051037;Großenrade;10,40;10,40;10,40;10,40;10,40;10,40;10,40;10,40
01051038;Groven;7,90;7,90;7,90;7,90;7,90;7,90;7,90;7,90
01051039;Gudendorf;6,04;6,04;6,04;6,04;6,04;6,04;6,04;6,04
01051040;Hägen;-;-;-;-;-;-;-;2,86
01051043;Hedwigenkoog;16,36;16,36;16,36;16,36;16,36;16,36;16,36;16,36
01051044;Heide;31,97;31,97;31,97;31,97;31,97;31,97;31,97;31,97
01051045;Hellschen-Heringsand-Unterschaar;7,02;7,02;7,02;7,02;7,02;7,02;7,02;7,02
01051046;Helse;11,44;11,44;11,44;11,44;11,44;11,44;11,44;11,44
01051047;Hemme;16,53;16,53;16,53;16,53;16,53;16,53;16,53;16,53
01051048;Hemmingstedt;16,01;16,01;16,01;16,01;16,01;16,01;16,02;16,02
01051049;Hennstedt;21,93;21,93;21,93;21,93;21,93;21,93;21,93;21,93
01051050;Hillgroven;3,60;3,60;3,60;3,60;3,60;3,60;3,60;3,60
01051051;Hochdonn;5,46;5,46;5,46;5,46;5,46;5,46;5,46;5,46
01051052;Hövede;2,94;2,94;2,94;2,94;2,94;2,94;2,94;2,94
01051053;Hollingstedt;9,74;9,74;9,74;9,74;9,74;9,74;9,74;9,74
01051054;Immenstedt;3,09;3,09;3,09;3,09;3,09;3,09;3,09;3,09
01051057;Kaiser-Wilhelm-Koog;13,06;13,06;13,06;13,06;13,06;13,06;13,06;13,06
01051058;Karolinenkoog;17,55;17,55;17,55;17,55;17,55;17,55;17,55;17,55
01051060;Kleve, Dithmarschen;12,81;12,81;12,81;12,81;12,81;12,81;12,81;12,81
01051061;Krempel;4,83;4,83;4,83;4,83;4,83;4,83;4,83;4,83
01051062;Kronprinzenkoog;28,85;28,85;28,85;28,85;28,85;28,85;28,85;28,85
01051063;Krumstedt;15,89;15,89;15,89;15,89;15,89;15,89;15,89;15,89
01051064;Kuden;11,37;11,37;11,37;11,36;11,36;11,36;11,36;11,36
01051065;Lehe;18,63;18,63;18,63;18,63;18,63;18,63;18,63;18,63
01051067;Lieth;4,66;4,66;4,66;4,66;4,66;4,66;4,66;4,66
