GENESIS-Tabelle: 12411-06-01-5-B
Bevölkerungsstand: Bevölkerung nach Geschlecht;;;;
- Stichtag 30.06.-;;;;
regionale Ebenen;;;;
Fortschreibung des Bevölkerungsstandes;;;;
;;Bevölkerungsstand 30.06.;Bevölkerungsstand 30.06.;Bevölkerungsstand 30.06.
;;2015;2015;2015
;;Insgesamt;männlich;weiblich
;;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;84963;42143;42820
01002000;Kiel, krsfr. Stadt;244549;118975;125574
01003000;Lübeck, krsfr. Stadt;215006;102967;112039
01004000;Neumünster, krsfr. Stadt;78412;38560;39852
01051001;Albersdorf;3490;1693;1797
01051002;Arkebek;222;110;112
01051003;Averlak;585;304;281
01051004;Bargenstedt;926;445;481
01051005;Barkenholm;163;89;74
01051006;Barlt;782;386;396
01051008;Bergewöhrden;36;16;20
01051010;Brickeln;214;108;106
01051011;Brunsbüttel;12686;6371;6315
01051012;Buchholz;991;497;494
01051013;Büsum;4786;2222;2564
01051014;Büsumer Deichhausen;353;163;190
01051015;Bunsoh;790;399;391
01051016;Burg (Dithmarschen);4168;2027;2141
01051017;Busenwurth;303;160;143
01051019;Dellstedt;733;387;346
01051020;Delve;679;343;336
01051021;Diekhusen-Fahrstedt;716;372;344
01051022;Dingen;627;320;307
01051023;Dörpling;623;316;307
01051024;Eddelak;1369;665;704
01051026;Eggstedt;753;371;382
01051027;Elpersbüttel;858;447;411
01051028;Epenwöhrden;786;388;398
01051030;Fedderingen;282;138;144
01051032;Frestedt;372;188;184
01051033;Friedrichsgabekoog;52;28;24
01051034;Friedrichskoog;2556;1285;1271
01051035;Gaushorn;186;86;100
01051036;Glüsing;115;62;53
01051037;Großenrade;480;239;241
01051038;Groven;83;52;31
01051039;Gudendorf;395;198;197
01051040;Hägen;-;-;-
01051043;Hedwigenkoog;231;103;128
01051044;Heide;21261;10044;11217
01051045;Hellschen-Heringsand-Unterschaar;177;90;87
01051046;Helse;873;445;428
01051047;Hemme;503;269;234
01051048;Hemmingstedt;2844;1429;1415
01051049;Hennstedt;1949;982;967
01051050;Hillgroven;69;42;27
01051051;Hochdonn;1169;572;597
01051052;Hövede;60;29;31
01051053;Hollingstedt;311;156;155
01051054;Immenstedt;108;48;60
01051057;Kaiser-Wilhelm-Koog;331;171;160
01051058;Karolinenkoog;143;78;65
01051060;Kleve, Dithmarschen;429;216;213
01051061;Krempel;589;297;292
01051062;Kronprinzenkoog;821;414;407
01051063;Krumstedt;498;248;250
01051064;Kuden;625;324;301
01051065;Lehe;1071;526;545
01051067;Lieth;390;179;211
01051068;Linden;854;427;427
01051069;Lohe-Rickelshof;2095;987;1108
01051071;Lunden;1682;863;819
01051072;Marne;5672;2682;2990
01051073;Marnerdeich;373;199;174
01051074;Meldorf;7225;3456;3769
01051075;Neuenkirchen;986;511;475
01051076;Neufeld;599;307;292
01051077;Neufelderkoog;122;65;57
01051078;Nindorf;1156;585;571
01051079;Norddeich;402;210;192
01051080;Norderheistedt;152;78;74
01051081;Norderwöhrden;291;153;138
01051082;Nordhastedt;2789;1395;1394
01051083;Odderade;318;166;152
01051084;Oesterdeichstrich;275;135;140
01051085;Offenbüttel;258;129;129
01051086;Osterrade;412;208;204
01051087;Ostrohe;946;481;465
01051088;Pahlen;1194;603;591
01051089;Quickborn;187;92;95
01051090;Ramhusen;152;77;75
01051092;Rehm-Flehde-Bargen;510;252;258
01051093;Reinsbüttel;425;212;213
01051096;Sankt Annen;323;171;152
01051097;Sankt Michaelisdonn;3463;1711;1752
01051098;Sarzbüttel;705;349;356
01051099;Schafstedt;1268;644;624
01051100;Schalkholz;588;291;297
01051102;Schlichting;247;132;115
