GENESIS-Tabelle: 12411-07-01-5-B
Durchschnittsalter der Bevölkerung;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
;;;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung
;;;;männlich;weiblich
;;;Jahre;Jahre;Jahre
31.12.2015;01001000;Flensburg, krsfr. Stadt;42,8;41,4;44,3
31.12.2015;01002000;Kiel, krsfr. Stadt;41,8;40,7;42,9
31.12.2015;01003000;Lübeck, krsfr. Stadt;44,9;43,1;46,5
31.12.2015;01004000;Neumünster, krsfr. Stadt;44,4;42,7;46,0
31.12.2015;01051001;Albersdorf;45,1;43,0;47,1
31.12.2015;01051002;Arkebek;43,5;41,5;45,4
31.12.2015;01051003;Averlak;46,3;45,7;46,9
31.12.2015;01051004;Bargenstedt;46,6;45,9;47,2
31.12.2015;01051005;Barkenholm;46,5;46,2;46,8
31.12.2015;01051006;Barlt;43,4;44,2;42,6
31.12.2015;01051008;Bergewöhrden;44,8;50,3;40,7
31.12.2015;01051010;Brickeln;40,3;39,7;41,0
31.12.2015;01051011;Brunsbüttel;46,2;44,7;47,8
31.12.2015;01051012;Buchholz;43,4;43,8;43,0
31.12.2015;01051013;Büsum;55,1;53,9;56,2
31.12.2015;01051014;Büsumer Deichhausen;53,2;54,1;52,4
31.12.2015;01051015;Bunsoh;44,2;43,6;44,9
31.12.2015;01051016;Burg (Dithmarschen);47,4;45,9;48,9
31.12.2015;01051017;Busenwurth;44,7;43,6;45,9
31.12.2015;01051019;Dellstedt;43,9;42,4;45,7
31.12.2015;01051020;Delve;48,5;47,1;49,9
31.12.2015;01051021;Diekhusen-Fahrstedt;41,7;41,7;41,8
31.12.2015;01051022;Dingen;45,4;45,9;44,8
31.12.2015;01051023;Dörpling;43,4;44,1;42,6
31.12.2015;01051024;Eddelak;43,1;42,6;43,6
31.12.2015;01051026;Eggstedt;46,4;45,3;47,5
31.12.2015;01051027;Elpersbüttel;43,2;43,4;43,1
31.12.2015;01051028;Epenwöhrden;42,8;41,9;43,7
31.12.2015;01051030;Fedderingen;40,1;40,4;39,8
31.12.2015;01051032;Frestedt;45,7;44,7;46,8
31.12.2015;01051033;Friedrichsgabekoog;46,7;47,3;46,2
31.12.2015;01051034;Friedrichskoog;47,9;47,1;48,7
31.12.2015;01051035;Gaushorn;45,0;45,7;44,4
31.12.2015;01051036;Glüsing;44,6;46,4;42,7
31.12.2015;01051037;Großenrade;45,6;45,4;45,9
31.12.2015;01051038;Groven;45,9;45,9;45,8
31.12.2015;01051039;Gudendorf;44,7;45,3;44,1
31.12.2015;01051040;Hägen;-;-;-
31.12.2015;01051043;Hedwigenkoog;42,5;43,2;41,8
31.12.2015;01051044;Heide;44,5;43,0;45,9
31.12.2015;01051045;Hellschen-Heringsand-Unterschaar;39,2;36,5;42,0
31.12.2015;01051046;Helse;44,0;43,6;44,5
31.12.2015;01051047;Hemme;45,2;44,2;46,5
31.12.2015;01051048;Hemmingstedt;44,2;43,0;45,4
31.12.2015;01051049;Hennstedt;47,1;46,2;47,9
31.12.2015;01051050;Hillgroven;49,0;47,0;52,3
31.12.2015;01051051;Hochdonn;45,6;45,5;45,8
31.12.2015;01051052;Hövede;43,3;43,8;42,7
31.12.2015;01051053;Hollingstedt;45,2;47,2;43,3
31.12.2015;01051054;Immenstedt;43,2;46,9;40,3
31.12.2015;01051057;Kaiser-Wilhelm-Koog;41,3;42,5;40,0
31.12.2015;01051058;Karolinenkoog;42,5;41,2;44,2
31.12.2015;01051060;Kleve, Dithmarschen;46,2;44,8;47,5
31.12.2015;01051061;Krempel;45,0;43,5;46,5
31.12.2015;01051062;Kronprinzenkoog;45,1;45,7;44,5
31.12.2015;01051063;Krumstedt;45,8;45,3;46,2
31.12.2015;01051064;Kuden;43,0;41,7;44,4
31.12.2015;01051065;Lehe;48,0;46,1;49,8
31.12.2015;01051067;Lieth;52,3;48,7;55,5
31.12.2015;01051068;Linden;42,5;41,5;43,5
31.12.2015;01051069;Lohe-Rickelshof;46,6;44,9;48,2
31.12.2015;01051071;Lunden;44,9;41,9;48,1
31.12.2015;01051072;Marne;47,2;44,8;49,4
31.12.2015;01051073;Marnerdeich;41,9;41,6;42,2
31.12.2015;01051074;Meldorf;46,2;44,5;47,8
31.12.2015;01051075;Neuenkirchen;43,8;44,3;43,2
31.12.2015;01051076;Neufeld;45,8;46,3;45,3
31.12.2015;01051077;Neufelderkoog;45,5;43,8;47,3
31.12.2015;01051078;Nindorf;43,8;43,0;44,6
31.12.2015;01051079;Norddeich;45,6;45,9;45,1
31.12.2015;01051080;Norderheistedt;42,7;43,5;41,8
31.12.2015;01051081;Norderwöhrden;45,6;44,2;47,1
31.12.2015;01051082;Nordhastedt;43,9;43,0;44,8
31.12.2015;01051083;Odderade;44,2;43,9;44,4
31.12.2015;01051084;Oesterdeichstrich;44,7;43,7;45,7
31.12.2015;01051085;Offenbüttel;46,3;48,5;44,2
31.12.2015;01051086;Osterrade;46,0;45,3;46,7
31.12.2015;01051087;Ostrohe;46,9;46,0;47,8
31.12.2015;01051088;Pahlen;43,2;41,7;44,7
31.12.2015;01051089;Quickborn;44,0;45,1;43,0
31.12.2015;01051090;Ramhusen;41,6;43,3;39,9
31.12.2015;01051092;Rehm-Flehde-Bargen;46,1;45,5;46,7
31.12.2015;01051093;Reinsbüttel;42,2;41,1;43,3
31.12.2015;01051096;Sankt Annen;43,6;43,8;43,4
31.12.2015;01051097;Sankt Michaelisdonn;46,5;45,3;47,6
31.12.2015;01051098;Sarzbüttel;47,4;47,2;47,5
31.12.2015;01051099;Schafstedt;47,1;45,1;49,3
31.12.2015;01051100;Schalkholz;45,4;44,4;46,4
31.12.2015;01051102;Schlichting;45,6;43,7;47,8
31.12.2015;01051103;Schmedeswurth;45,2;42,5;48,1
31.12.2015;01051104;Schrum;45,1;44,7;45,6
31.12.2015;01051105;Schülp;46,6;45,8;47,5
31.12.2015;01051107;Stelle-Wittenwurth;47,9;45,3;50,2
31.12.2015;01051108;Strübbel;49,4;46,9;51,9
31.12.2015;01051109;Süderdeich;44,3;44,1;44,5
31.12.2015;01051110;Süderhastedt;43,9;43,0;44,7
31.12.2015;01051111;Süderheistedt;-;-;-
31.12.2015;01051113;Wöhrden;46,2;45,1;47,2
31.12.2015;01051114;Tellingstedt;45,0;43,3;46,7
31.12.2015;01051117;Tielenhemme;47,0;46,2;47,8
31.12.2015;01051118;Trennewurth;49,5;46,9;52,8
31.12.2015;01051119;Volsemenhusen;43,4;42,4;44,7
31.12.2015;01051120;Wallen;45,5;51,9;40,2
31.12.2015;01051121;Warwerort;49,6;48,1;51,4
31.12.2015;01051122;Weddingstedt;44,0;43,9;44,2
31.12.2015;01051125;Welmbüttel;44,7;45,2;44,2
31.12.2015;01051126;Wennbüttel;41,6;43,7;39,9
31.12.2015;01051127;Wesselburen;46,4;45,0;47,7
31.12.2015;01051128;Wesselburener Deichhausen;50,0;49,8;50,2
31.12.2015;01051129;Wesselburenerkoog;49,6;47,1;52,2
31.12.2015;01051130;Wesseln;45,4;44,5;46,3
31.12.2015;01051131;Westerborstel;41,1;40,5;41,6
31.12.2015;01051132;Westerdeichstrich;51,2;51,3;51,1
31.12.2015;01051133;Wiemerstedt;48,0;47,8;48,2
31.12.2015;01051134;Windbergen;42,1;41,0;43,1
31.12.2015;01051135;Wolmersdorf;47,4;45,6;49,3
31.12.2015;01051136;Wrohm;45,2;44,4;46,1
31.12.2015;01051137;Nordermeldorf;44,5;43,9;45,3
31.12.2015;01051138;Tensbüttel-Röst;43,4;42,1;44,5
31.12.2015;01051139;Süderdorf;43,5;41,0;46,0
