GENESIS-Tabelle: 12613-01-01-5-B
Sterbefälle: Gestorbene nach Geschlecht - Jahressumme -;;;;;
regionale Ebenen;;;;;
Statistik der Sterbefälle;;;;;
Gestorbene (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;männlich;weiblich
2015;01001000;Flensburg, krsfr. Stadt;1064;508;556
2015;01002000;Kiel, krsfr. Stadt;2443;1189;1254
2015;01003000;Lübeck, krsfr. Stadt;2860;1416;1444
2015;01004000;Neumünster, krsfr. Stadt;1014;519;495
2015;01051001;Albersdorf;64;38;26
2015;01051002;Arkebek;-;-;-
2015;01051003;Averlak;1;1;-
2015;01051004;Bargenstedt;25;11;14
2015;01051005;Barkenholm;3;1;2
2015;01051006;Barlt;8;6;2
2015;01051008;Bergewöhrden;2;2;-
2015;01051010;Brickeln;1;-;1
2015;01051011;Brunsbüttel;174;88;86
2015;01051012;Buchholz;14;7;7
2015;01051013;Büsum;98;47;51
2015;01051014;Büsumer Deichhausen;4;1;3
2015;01051015;Bunsoh;7;4;3
2015;01051016;Burg (Dithmarschen);88;37;51
2015;01051017;Busenwurth;3;2;1
2015;01051019;Dellstedt;6;3;3
2015;01051020;Delve;7;2;5
2015;01051021;Diekhusen-Fahrstedt;7;3;4
2015;01051022;Dingen;3;3;-
2015;01051023;Dörpling;5;3;2
2015;01051024;Eddelak;8;5;3
2015;01051026;Eggstedt;4;1;3
2015;01051027;Elpersbüttel;8;4;4
2015;01051028;Epenwöhrden;7;3;4
2015;01051030;Fedderingen;2;1;1
2015;01051032;Frestedt;5;2;3
2015;01051033;Friedrichsgabekoog;1;1;-
2015;01051034;Friedrichskoog;32;21;11
2015;01051035;Gaushorn;2;2;-
2015;01051036;Glüsing;3;2;1
2015;01051037;Großenrade;5;4;1
2015;01051038;Groven;-;-;-
2015;01051039;Gudendorf;6;3;3
2015;01051040;Hägen;-;-;-
2015;01051043;Hedwigenkoog;1;-;1
2015;01051044;Heide;287;134;153
2015;01051045;Hellschen-Heringsand-Unterschaar;1;-;1
2015;01051046;Helse;6;3;3
2015;01051047;Hemme;8;5;3
2015;01051048;Hemmingstedt;42;24;18
2015;01051049;Hennstedt;29;20;9
2015;01051050;Hillgroven;1;1;-
2015;01051051;Hochdonn;11;5;6
2015;01051052;Hövede;1;1;-
2015;01051053;Hollingstedt;4;3;1
2015;01051054;Immenstedt;1;-;1
2015;01051057;Kaiser-Wilhelm-Koog;2;2;-
2015;01051058;Karolinenkoog;1;-;1
2015;01051060;Kleve, Dithmarschen;3;2;1
2015;01051061;Krempel;3;2;1
2015;01051062;Kronprinzenkoog;13;7;6
2015;01051063;Krumstedt;11;6;5
2015;01051064;Kuden;9;7;2
2015;01051065;Lehe;16;7;9
2015;01051067;Lieth;29;12;17
2015;01051068;Linden;15;10;5
2015;01051069;Lohe-Rickelshof;30;20;10
2015;01051071;Lunden;45;21;24
2015;01051072;Marne;98;43;55
2015;01051073;Marnerdeich;5;2;3
2015;01051074;Meldorf;93;41;52
2015;01051075;Neuenkirchen;4;1;3
2015;01051076;Neufeld;5;1;4
2015;01051077;Neufelderkoog;-;-;-
2015;01051078;Nindorf;13;6;7
2015;01051079;Norddeich;4;2;2
2015;01051080;Norderheistedt;-;-;-
2015;01051081;Norderwöhrden;3;2;1
2015;01051082;Nordhastedt;25;15;10
2015;01051083;Odderade;2;1;1
2015;01051084;Oesterdeichstrich;4;2;2
2015;01051085;Offenbüttel;8;4;4
2015;01051086;Osterrade;5;3;2
2015;01051087;Ostrohe;5;3;2
2015;01051088;Pahlen;19;11;8
2015;01051089;Quickborn;1;-;1
2015;01051090;Ramhusen;1;-;1
2015;01051092;Rehm-Flehde-Bargen;8;4;4
2015;01051093;Reinsbüttel;3;1;2
2015;01051096;Sankt Annen;6;4;2
2015;01051097;Sankt Michaelisdonn;55;23;32
2015;01051098;Sarzbüttel;10;8;2
2015;01051099;Schafstedt;19;10;9
2015;01051100;Schalkholz;6;5;1
2015;01051102;Schlichting;4;3;1
2015;01051103;Schmedeswurth;3;2;1
2015;01051104;Schrum;1;1;-
2015;01051105;Schülp;9;6;3
2015;01051107;Stelle-Wittenwurth;18;6;12
2015;01051108;Strübbel;1;1;-
2015;01051109;Süderdeich;2;1;1
2015;01051110;Süderhastedt;17;7;10
2015;01051111;Süderheistedt;-;-;-
2015;01051113;Wöhrden;17;10;7
2015;01051114;Tellingstedt;33;17;16
2015;01051117;Tielenhemme;1;1;-
2015;01051118;Trennewurth;1;1;-
2015;01051119;Volsemenhusen;5;-;5
2015;01051120;Wallen;-;-;-
2015;01051121;Warwerort;2;2;-
2015;01051122;Weddingstedt;25;12;13
2015;01051125;Welmbüttel;7;3;4
2015;01051126;Wennbüttel;1;-;1
2015;01051127;Wesselburen;47;24;23
2015;01051128;Wesselburener Deichhausen;2;2;-
2015;01051129;Wesselburenerkoog;-;-;-
2015;01051130;Wesseln;15;10;5
2015;01051131;Westerborstel;2;1;1
2015;01051132;Westerdeichstrich;18;10;8
2015;01051133;Wiemerstedt;1;1;-
2015;01051134;Windbergen;9;5;4
2015;01051135;Wolmersdorf;4;4;-
2015;01051136;Wrohm;3;2;1
2015;01051137;Nordermeldorf;3;1;2
2015;01051138;Tensbüttel-Röst;8;4;4
2015;01051139;Süderdorf;2;2;-
2015;01051140;Oesterwurth;3;-;3
2015;01051141;Süderheistedt;7;3;4
2015;01053001;Albsfelde;-;-;-
2015;01053002;Alt Mölln;7;1;6
2015;01053003;Aumühle;55;29;26
2015;01053004;Bäk;7;2;5
2015;01053005;Bälau;5;3;2
2015;01053006;Basedow;2;2;-
2015;01053007;Basthorst;5;2;3
2015;01053008;Behlendorf;5;1;4
2015;01053009;Berkenthin;29;12;17
2015;01053010;Besenthal;-;-;-
2015;01053011;Bliestorf;5;1;4
2015;01053012;Börnsen;35;24;11
2015;01053013;Borstorf;4;3;1
2015;01053014;Breitenfelde;12;6;6
2015;01053015;Bröthen;2;1;1
2015;01053016;Brunsmark;1;1;-
2015;01053017;Brunstorf;7;6;1
2015;01053018;Buchholz;1;1;-
2015;01053019;Buchhorst;-;-;-
2015;01053020;Büchen;67;32;35
2015;01053021;Dahmker;3;2;1
2015;01053022;Dalldorf;2;1;1
2015;01053023;Dassendorf;17;11;6
2015;01053024;Düchelsdorf;1;1;-
2015;01053025;Duvensee;12;3;9
2015;01053026;Einhaus;3;2;1
2015;01053027;Elmenhorst;6;3;3
2015;01053028;Escheburg;19;11;8
2015;01053029;Fitzen;5;1;4
2015;01053030;Fredeburg;-;-;-
2015;01053031;Fuhlenhagen;2;1;1
2015;01053032;Geesthacht;384;191;193
2015;01053033;Giesensdorf;2;2;-
2015;01053034;Göldenitz;2;-;2
2015;01053035;Göttin;-;-;-
2015;01053036;Grabau;2;1;1
2015;01053037;Grambek;4;3;1
2015;01053038;Grinau;25;9;16
2015;01053039;Groß Boden;2;-;2
2015;01053040;Groß Disnack;2;1;1
2015;01053041;Groß Grönau;34;18;16
2015;01053042;Groß Pampau;-;-;-
2015;01053043;Groß Sarau;6;3;3
2015;01053044;Groß Schenkenberg;5;1;4
2015;01053045;Grove;1;1;-
2015;01053046;Gudow;17;13;4
2015;01053047;Gülzow;23;13;10
2015;01053048;Güster;15;7;8
