GENESIS-Tabelle: 13111-02-02-5-B
Sozialversicherungspflichtig Beschäftigte am Wohnort;;;;;;;
nach Geschlecht und Nationalität - Stichtag 30.06. -;;;;;;;
regionale Ebenen;;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;;
Sozialversicherungspfl. Beschäftigte (Wohnort) (Anzahl);;;;;;;
30.06.2015;;;;;;;
;;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität
;;Insgesamt;Insgesamt;Insgesamt;Ausländer(innen);Ausländer(innen);Ausländer(innen)
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
01001000;Flensburg, krsfr. Stadt;28762;14705;14057;2181;1270;911
01002000;Kiel, krsfr. Stadt;83336;42902;40434;5232;3144;2088
01003000;Lübeck, krsfr. Stadt;73437;37804;35633;4556;2735;1821
01004000;Neumünster, krsfr. Stadt;26992;14477;12515;1511;1013;498
01051001;Albersdorf;1041;547;494;27;22;5
01051002;Arkebek;83;45;38;-;-;-
01051003;Averlak;234;156;78;3;.;.
01051004;Bargenstedt;306;170;136;3;.;.
01051005;Barkenholm;67;33;34;3;3;-
01051006;Barlt;267;156;111;10;7;3
01051008;Bergewöhrden;5;.;.;-;-;-
01051010;Brickeln;72;45;27;-;-;-
01051011;Brunsbüttel;4468;2680;1788;147;95;52
01051012;Buchholz;330;188;142;-;-;-
01051013;Büsum;1185;586;599;82;57;25
01051014;Büsumer Deichhausen;92;41;51;3;3;-
01051015;Bunsoh;270;144;126;.;.;.
01051016;Burg (Dithmarschen);1235;699;536;21;6;15
01051017;Busenwurth;114;71;43;3;3;-
01051019;Dellstedt;230;142;88;.;.;.
01051020;Delve;227;127;100;.;.;.
01051021;Diekhusen-Fahrstedt;293;169;124;6;3;3
01051022;Dingen;237;145;92;4;4;-
01051023;Dörpling;197;109;88;.;-;.
01051024;Eddelak;552;327;225;4;.;.
01051026;Eggstedt;277;161;116;3;.;.
01051027;Elpersbüttel;338;200;138;13;9;4
01051028;Epenwöhrden;284;159;125;5;5;-
01051030;Fedderingen;106;61;45;.;.;.
01051032;Frestedt;124;70;54;.;-;.
01051033;Friedrichsgabekoog;16;10;6;-;-;-
01051034;Friedrichskoog;737;449;288;89;75;14
01051035;Gaushorn;64;35;29;.;.;.
01051036;Glüsing;30;16;14;-;-;-
01051037;Großenrade;177;111;66;-;-;-
01051038;Groven;27;20;7;5;5;-
01051039;Gudendorf;149;87;62;5;.;.
01051040;Hägen;-;-;-;-;-;-
01051043;Hedwigenkoog;84;54;30;24;.;.
01051044;Heide;6914;3533;3381;334;209;125
01051045;Hellschen-Heringsand-Unterschaar;40;17;23;-;-;-
01051046;Helse;328;207;121;6;.;.
01051047;Hemme;165;103;62;20;.;.
01051048;Hemmingstedt;1072;594;478;49;31;18
01051049;Hennstedt;617;338;279;6;.;.
01051050;Hillgroven;23;15;8;3;.;.
01051051;Hochdonn;398;252;146;.;-;.
01051052;Hövede;19;8;11;-;-;-
01051053;Hollingstedt;109;61;48;.;.;.
01051054;Immenstedt;32;15;17;-;-;-
01051057;Kaiser-Wilhelm-Koog;106;65;41;8;4;4
01051058;Karolinenkoog;43;27;16;3;3;-
01051060;Kleve, Dithmarschen;155;78;77;-;-;-
01051061;Krempel;203;119;84;4;.;.
01051062;Kronprinzenkoog;308;188;120;25;18;7
01051063;Krumstedt;182;101;81;5;5;-
01051064;Kuden;217;145;72;.;-;.
01051065;Lehe;344;194;150;5;.;.
01051067;Lieth;125;67;58;4;.;.
01051068;Linden;320;183;137;.;.;.
01051069;Lohe-Rickelshof;703;339;364;11;6;5
01051071;Lunden;451;265;186;8;5;3
01051072;Marne;1852;1049;803;63;34;29
01051073;Marnerdeich;135;75;60;3;.;.
01051074;Meldorf;2342;1265;1077;91;58;33
01051075;Neuenkirchen;386;230;156;36;.;.
01051076;Neufeld;215;126;89;7;7;-
01051077;Neufelderkoog;30;17;13;5;.;.
01051078;Nindorf;421;235;186;.;.;.
01051079;Norddeich;147;78;69;5;5;-
01051080;Norderheistedt;52;28;24;.;.;.
01051081;Norderwöhrden;87;44;43;.;.;.
01051082;Nordhastedt;982;558;424;17;7;10
01051083;Odderade;116;60;56;.;.;.
01051084;Oesterdeichstrich;76;41;35;9;6;3
01051085;Offenbüttel;69;37;32;-;-;-
01051086;Osterrade;132;72;60;.;.;.
01051087;Ostrohe;328;167;161;3;.;.
01051088;Pahlen;401;220;181;8;4;4
01051089;Quickborn;74;48;26;4;.;.
01051090;Ramhusen;58;34;24;.;.;.
01051092;Rehm-Flehde-Bargen;177;106;71;15;.;.
01051093;Reinsbüttel;161;91;70;.;.;.
01051096;Sankt Annen;95;53;42;3;.;.
01051097;Sankt Michaelisdonn;1171;698;473;13;8;5
01051098;Sarzbüttel;247;137;110;.;.;.
01051099;Schafstedt;461;261;200;.;.;.
01051100;Schalkholz;202;120;82;.;.;.
01051102;Schlichting;77;45;32;.;.;.
01051103;Schmedeswurth;68;40;28;.;.;.
01051104;Schrum;26;15;11;-;-;-
01051105;Schülp;169;99;70;31;24;7
01051107;Stelle-Wittenwurth;141;75;66;.;-;.
01051108;Strübbel;27;13;14;.;.;.
01051109;Süderdeich;160;82;78;5;.;.
01051110;Süderhastedt;261;157;104;.;.;.
01051111;Süderheistedt;-;-;-;-;-;-
01051113;Wöhrden;465;260;205;39;22;17
01051114;Tellingstedt;924;502;422;20;15;5
01051117;Tielenhemme;53;27;26;.;-;.
01051118;Trennewurth;94;58;36;7;4;3
01051119;Volsemenhusen;94;57;37;-;-;-
01051120;Wallen;7;.;.;-;-;-
01051121;Warwerort;74;45;29;.;.;.
01051122;Weddingstedt;869;475;394;7;4;3
01051125;Welmbüttel;153;91;62;5;.;.
01051126;Wennbüttel;27;15;12;.;-;.
01051127;Wesselburen;1022;552;470;123;72;51
01051128;Wesselburener Deichhausen;37;18;19;.;.;.
01051129;Wesselburenerkoog;61;32;29;11;6;5
01051130;Wesseln;510;254;256;4;-;4
01051131;Westerborstel;39;19;20;-;-;-
01051132;Westerdeichstrich;249;112;137;7;.;.
01051133;Wiemerstedt;64;34;30;-;-;-
01051134;Windbergen;286;164;122;3;.;.
01051135;Wolmersdorf;112;64;48;-;-;-
01051136;Wrohm;230;130;100;3;.;.
01051137;Nordermeldorf;208;114;94;14;11;3
01051138;Tensbüttel-Röst;198;106;92;.;.;.
01051139;Süderdorf;112;67;45;-;-;-
01051140;Oesterwurth;83;46;37;.;.;.
01051141;Süderheistedt;206;105;101;.;.;.
01053001;Albsfelde;22;11;11;-;-;-
01053002;Alt Mölln;308;149;159;3;.;.
01053003;Aumühle;912;462;450;53;30;23
01053004;Bäk;260;127;133;.;-;.
01053005;Bälau;78;42;36;.;.;.
01053006;Basedow;221;124;97;11;7;4
01053007;Basthorst;158;75;83;5;.;.
01053008;Behlendorf;138;65;73;.;.;.
01053009;Berkenthin;738;389;349;13;7;6
01053010;Besenthal;28;16;12;-;-;-
01053011;Bliestorf;248;131;117;6;3;3
01053012;Börnsen;1705;877;828;76;43;33
01053013;Borstorf;110;56;54;.;.;.
01053014;Breitenfelde;759;414;345;23;16;7
01053015;Bröthen;109;63;46;.;.;.
01053016;Brunsmark;62;34;28;3;.;.
01053017;Brunstorf;253;135;118;.;.;.
01053018;Buchholz;71;36;35;5;.;.
01053019;Buchhorst;57;22;35;.;.;.
01053020;Büchen;2210;1183;1027;104;69;35
01053021;Dahmker;56;24;32;-;-;-
01053022;Dalldorf;134;78;56;3;.;.
01053023;Dassendorf;1145;625;520;83;72;11
01053024;Düchelsdorf;59;28;31;-;-;-
01053025;Duvensee;189;95;94;.;.;.
01053026;Einhaus;125;62;63;.;-;.
01053027;Elmenhorst;381;200;181;7;.;.
01053028;Escheburg;1460;771;689;57;41;16
01053029;Fitzen;136;72;64;7;4;3
01053030;Fredeburg;12;7;5;-;-;-
01053031;Fuhlenhagen;140;66;74;11;5;6
01053032;Geesthacht;11764;6324;5440;876;543;333
01053033;Giesensdorf;51;27;24;.;.;.
01053034;Göldenitz;88;42;46;-;-;-
01053035;Göttin;29;16;13;-;-;-
01053036;Grabau;132;68;64;.;.;.
01053037;Grambek;147;73;74;.;.;.
01053038;Grinau;77;44;33;-;-;-
01053039;Groß Boden;83;39;44;.;-;.
01053040;Groß Disnack;40;22;18;-;-;-
01053041;Groß Grönau;1185;547;638;28;10;18
01053042;Groß Pampau;66;31;35;.;.;.
01053043;Groß Sarau;309;148;161;6;3;3
01053044;Groß Schenkenberg;221;118;103;.;-;.
01053045;Grove;103;54;49;-;-;-
01053046;Gudow;595;321;274;7;3;4
01053047;Gülzow;504;282;222;5;.;.
01053048;Güster;446;231;215;16;10;6
01053049;Hamfelde;185;83;102;4;.;.
01053050;Hamwarde;382;210;172;4;.;.
01053051;Harmsdorf;110;51;59;-;-;-
01053052;Havekost;92;47;45;3;.;.
01053053;Hohenhorn;209;113;96;7;.;.
01053054;Hollenbek;151;84;67;.;.;.
01053056;Hornbek;73;38;35;.;.;.
01053057;Horst;80;44;36;5;.;.
01053058;Juliusburg;58;30;28;-;-;-
01053059;Kankelau;82;46;36;.;-;.
01053060;Kasseburg;238;119;119;.;.;.
01053061;Kastorf;519;271;248;22;18;4
01053062;Kittlitz;97;52;45;.;-;.
01053064;Klein Pampau;262;133;129;.;.;.
01053066;Klein Zecher;85;42;43;-;-;-
01053067;Klempau;247;136;111;5;-;5
01053068;Klinkrade;270;133;137;3;.;.
01053069;Koberg;310;160;150;7;4;3
01053070;Köthel;129;62;67;3;.;.
01053071;Kollow;227;117;110;4;.;.
01053072;Kröppelshagen-Fahrendorf;465;235;230;16;9;7
01053073;Krüzen;124;63;61;-;-;-
01053074;Krukow;47;26;21;-;-;-
01053075;Krummesse;927;458;469;11;7;4
01053076;Kuddewörde;478;253;225;10;5;5
01053077;Kühsen;144;77;67;.;.;.
01053078;Kulpin;82;39;43;.;-;.
01053079;Labenz;338;174;164;6;.;.
01053080;Langenlehsten;60;31;29;.;-;.
01053081;Lankau;153;84;69;-;-;-
01053082;Lanze;84;42;42;.;-;.
01053083;Lauenburg/Elbe;3451;1966;1485;264;190;74
01053084;Lehmrade;185;97;88;3;.;.
01053085;Linau;527;279;248;15;8;7
01053086;Lüchow;138;65;73;.;.;.
01053087;Lütau;205;110;95;.;-;.
