GENESIS-Tabelle: 13111-08-02-5-B
Sozialversicherungspflichtig Beschäftigte am Arbeits- und;;;;;;
Wohnort sowie Ein- und Auspendler über Gemeindegrenzen;;;;;;
- Stichtag 30.06. - regionale Ebenen;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;
30.06.2015;;;;;;
;;Sozialversicherungspfl. Beschäftigte (Arbeitsort);Einpendler(innen) über Gemeindegrenze (Arbeitsort);Sozialversicherungspfl. Beschäftigte (Wohnort);Auspendler(innen) über Gemeindegrenzen (Wohnort);Pendlersaldo (über Gemeindegrenze)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;40774;21218;28762;9224;11994
01002000;Kiel, krsfr. Stadt;117471;58526;83336;24421;34105
01003000;Lübeck, krsfr. Stadt;90327;39184;73437;22320;16864
01004000;Neumünster, krsfr. Stadt;35290;18847;26992;10556;8291
01051001;Albersdorf;937;715;1041;819;-104
01051002;Arkebek;13;10;83;80;-70
01051003;Averlak;71;55;234;218;-163
01051004;Bargenstedt;157;128;306;277;-149
01051005;Barkenholm;.;.;67;62;.
01051006;Barlt;76;48;267;239;-191
01051008;Bergewöhrden;-;-;5;5;-5
01051010;Brickeln;.;.;72;69;.
01051011;Brunsbüttel;6153;3760;4468;2077;1683
01051012;Buchholz;97;80;330;313;-233
01051013;Büsum;1951;1261;1185;496;765
01051014;Büsumer Deichhausen;41;32;92;83;-51
01051015;Bunsoh;110;89;270;249;-160
01051016;Burg (Dithmarschen);646;412;1235;1003;-591
01051017;Busenwurth;.;.;114;109;.
01051019;Dellstedt;38;21;230;213;-192
01051020;Delve;29;16;227;214;-198
01051021;Diekhusen-Fahrstedt;57;48;293;284;-236
01051022;Dingen;57;46;237;226;-180
01051023;Dörpling;35;29;197;191;-162
01051024;Eddelak;167;133;552;518;-385
01051026;Eggstedt;13;7;277;271;-264
01051027;Elpersbüttel;51;32;338;319;-287
01051028;Epenwöhrden;63;54;284;275;-221
01051030;Fedderingen;.;.;106;98;.
01051032;Frestedt;26;18;124;116;-98
01051033;Friedrichsgabekoog;80;76;16;12;64
01051034;Friedrichskoog;671;413;737;479;-66
01051035;Gaushorn;.;.;64;59;.
01051036;Glüsing;.;.;30;30;.
01051037;Großenrade;39;31;177;169;-138
01051038;Groven;21;14;27;20;-6
01051039;Gudendorf;282;273;149;140;133
01051040;Hägen;-;-;-;-;-
01051043;Hedwigenkoog;.;.;84;56;.
01051044;Heide;10817;7511;6914;3611;3900
01051045;Hellschen-Heringsand-Unterschaar;15;.;40;.;-25
01051046;Helse;40;32;328;320;-288
01051047;Hemme;69;44;165;140;-96
01051048;Hemmingstedt;1110;946;1072;910;36
01051049;Hennstedt;462;345;617;500;-155
01051050;Hillgroven;.;.;23;18;.
01051051;Hochdonn;117;95;398;376;-281
01051052;Hövede;.;.;19;.;.
01051053;Hollingstedt;15;10;109;104;-94
01051054;Immenstedt;.;.;32;.;.
01051057;Kaiser-Wilhelm-Koog;98;84;106;92;-8
01051058;Karolinenkoog;24;17;43;36;-19
01051060;Kleve, Dithmarschen;.;.;155;148;.
01051061;Krempel;8;.;203;.;-195
01051062;Kronprinzenkoog;279;232;308;261;-29
01051063;Krumstedt;46;32;182;168;-136
01051064;Kuden;.;.;217;.;-212
01051065;Lehe;91;63;344;316;-253
01051067;Lieth;.;.;125;115;.
01051068;Linden;81;64;320;303;-239
01051069;Lohe-Rickelshof;259;231;703;675;-444
01051071;Lunden;484;392;451;359;33
01051072;Marne;2003;1386;1852;1235;151
01051073;Marnerdeich;28;.;135;.;-107
01051074;Meldorf;3779;2925;2342;1488;1437
01051075;Neuenkirchen;132;75;386;329;-254
01051076;Neufeld;38;23;215;200;-177
