GENESIS-Tabelle: 14211-01-02-5-B
Europawahl: Wahlberechtigte und -beteiligung,;;;;;;;;;;;
Gültige Stimmen nach Parteien;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Allgemeine Europawahlstatistik;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
25.05.2014;01001000;Flensburg, krsfr. Stadt;70929;35,7;25174;6446;8161;4380;764;1911;3512
25.05.2014;01002000;Kiel, krsfr. Stadt;188135;40,3;75336;17477;25918;14305;2651;4863;10122
25.05.2014;01003000;Lübeck, krsfr. Stadt;167198;37,6;62509;17141;21356;9556;1953;3747;8756
25.05.2014;01004000;Neumünster, krsfr. Stadt;60970;45,4;27250;8948;9680;2432;829;1278;4083
25.05.2014;01051001;Albersdorf;2660;32,1;847;365;227;42;72;41;100
25.05.2014;01051002;Arkebek;171;44,4;76;39;17;2;5;4;9
25.05.2014;01051003;Averlak;476;28,8;136;61;44;3;6;3;19
25.05.2014;01051004;Bargenstedt;757;35,9;268;144;65;6;15;7;31
25.05.2014;01051005;Barkenholm;145;52,4;75;31;28;1;7;1;7
25.05.2014;01051006;Barlt;645;39,2;250;106;85;8;19;8;24
25.05.2014;01051008;Bergewöhrden;27;63,0;17;12;1;1;2;0;1
25.05.2014;01051010;Brickeln;157;35,0;53;32;6;1;2;0;12
25.05.2014;01051011;Brunsbüttel;10488;28,2;2917;986;1054;147;218;139;373
25.05.2014;01051012;Buchholz;803;29,5;234;133;49;5;12;10;25
25.05.2014;01051013;Büsum;4159;55,1;2229;914;780;68;103;62;302
25.05.2014;01051014;Büsumer Deichhausen;321;45,2;143;57;40;9;15;5;17
25.05.2014;01051015;Bunsoh;625;40,0;249;127;55;3;32;12;20
25.05.2014;01051016;Burg (Dithmarschen);3426;30,9;1046;407;347;53;86;41;112
25.05.2014;01051017;Busenwurth;238;42,9;102;60;25;2;4;3;8
25.05.2014;01051019;Dellstedt;580;42,2;243;175;32;5;11;1;19
25.05.2014;01051020;Delve;571;36,6;209;99;53;7;30;5;15
25.05.2014;01051021;Diekhusen-Fahrstedt;570;26,5;151;68;52;6;6;7;12
25.05.2014;01051022;Dingen;508;34,1;169;65;62;8;7;6;21
25.05.2014;01051023;Dörpling;474;36,5;169;95;30;6;11;5;22
25.05.2014;01051024;Eddelak;1067;33,6;354;164;105;3;13;13;56
25.05.2014;01051026;Eggstedt;641;37,6;241;120;66;7;12;7;29
25.05.2014;01051027;Elpersbüttel;678;34,1;229;115;66;8;18;6;16
25.05.2014;01051028;Epenwöhrden;600;31,8;190;88;64;11;14;2;11
25.05.2014;01051030;Fedderingen;203;35,0;71;39;14;4;4;1;9
25.05.2014;01051032;Frestedt;301;39,2;117;66;19;1;9;6;16
25.05.2014;01051033;Friedrichsgabekoog;40;45,0;18;5;4;0;8;0;1
25.05.2014;01051034;Friedrichskoog;2042;31,3;597;262;162;27;28;22;96
25.05.2014;01051035;Gaushorn;152;46,1;69;44;10;3;1;4;7
25.05.2014;01051036;Glüsing;93;52,7;48;31;4;3;2;0;8
25.05.2014;01051037;Großenrade;404;42,6;168;94;40;2;14;10;8
