GENESIS-Tabelle: 14331-01-02-5
Landtagswahlen: Schleswig-Holstein - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Schleswig-Holstein;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
06.05.2012;01001000;Flensburg, krsfr. Stadt;69809;52,9;36461;7817;9320;5412;2416;1111;10385
06.05.2012;01002000;Kiel, krsfr. Stadt;185775;61,4;112516;22901;40659;20292;7693;3934;17037
06.05.2012;01003000;Lübeck, krsfr. Stadt;166458;51,7;84740;20162;31084;13009;5752;2611;12122
06.05.2012;01004000;Neumünster, krsfr. Stadt;61009;53,1;31831;9070;10941;3594;2329;853;5044
06.05.2012;01051001;Albersdorf;2727;54,9;1468;594;349;105;148;25;247
06.05.2012;01051002;Arkebek;177;62,1;105;45;25;12;6;1;16
06.05.2012;01051003;Averlak;497;52,9;256;86;72;24;16;4;54
06.05.2012;01051004;Bargenstedt;743;58,7;428;192;108;27;36;5;60
06.05.2012;01051005;Barkenholm;143;73,4;105;40;31;19;6;2;7
06.05.2012;01051006;Barlt;651;68,2;431;160;130;36;29;9;67
06.05.2012;01051008;Bergewöhrden;28;75,0;21;15;1;1;3;0;1
06.05.2012;01051010;Brickeln;153;62,7;90;44;10;10;7;0;19
06.05.2012;01051011;Brunsbüttel;10548;53,8;5555;1633;1886;515;609;108;804
06.05.2012;01051012;Buchholz;827;60,3;488;232;124;21;35;9;67
06.05.2012;01051013;Büsum;4142;63,2;2575;1016;775;160;293;33;298
06.05.2012;01051014;Büsumer Deichhausen;322;71,1;225;81;58;22;33;4;27
06.05.2012;01051015;Bunsoh;635;68,2;426;166;120;40;27;6;67
06.05.2012;01051016;Burg (Dithmarschen);3440;55,0;1858;635;509;170;223;45;276
06.05.2012;01051017;Busenwurth;227;64,8;143;62;42;10;13;2;14
06.05.2012;01051019;Dellstedt;597;61,1;358;202;60;24;27;3;42
06.05.2012;01051020;Delve;574;58,9;334;139;78;38;31;5;43
06.05.2012;01051021;Diekhusen-Fahrstedt;575;56,9;319;83;131;26;32;2;45
06.05.2012;01051022;Dingen;530;54,5;288;88;111;15;25;2;47
06.05.2012;01051023;Dörpling;471;53,1;242;130;39;12;19;4;38
06.05.2012;01051024;Eddelak;1104;57,9;622;252;154;36;43;15;122
06.05.2012;01051026;Eggstedt;626;63,9;397;163;81;42;33;7;71
06.05.2012;01051027;Elpersbüttel;682;63,0;423;179;121;28;38;5;52
06.05.2012;01051028;Epenwöhrden;599;62,9;368;121;106;28;41;5;67
06.05.2012;01051030;Fedderingen;191;68,6;131;60;26;12;15;0;18
06.05.2012;01051032;Frestedt;292;67,5;189;89;52;19;9;2;18
06.05.2012;01051033;Friedrichsgabekoog;47;63,8;30;10;9;7;2;1;1
06.05.2012;01051034;Friedrichskoog;2042;61,0;1214;431;407;54;134;13;175
06.05.2012;01051035;Gaushorn;143;69,9;96;39;24;9;13;2;9
06.05.2012;01051036;Glüsing;89;75,3;67;28;12;4;12;2;9
