GENESIS-Tabelle: 14333-01-02-5
Landtagswahlen: Niedersachsen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinden, Samtgemeinden;;;;;;;;;;;
Landtagswahlen: Niedersachsen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
20.01.2013;03101000;Braunschweig, krsfr. Stadt;192582;59,9;114222;33886;38460;21255;9424;4850;6347
20.01.2013;03102000;Salzgitter, krsfr. Stadt;75483;52,5;38983;12038;17182;3607;2360;1612;2184
20.01.2013;03103000;Wolfsburg, krsfr. Stadt;92716;53,1;48597;18287;17404;5298;3568;1560;2480
20.01.2013;03151009;Gifhorn;31554;54,2;16909;6587;5310;2066;1435;488;1023
20.01.2013;03151025;Sassenburg;8398;52,1;4320;1714;1492;431;300;107;276
20.01.2013;03151040;Wittingen;9351;60,5;5563;2255;1820;520;595;135;238
20.01.2013;03151401;Boldecker Land, Samtgemeinde;7711;62,0;4734;1685;1665;739;304;97;244
20.01.2013;03151401002;Barwedel;835;57,2;473;173;166;70;32;11;21
20.01.2013;03151401004;Bokensdorf;812;54,9;441;145;176;63;24;8;25
20.01.2013;03151401014;Jembke;1502;56,0;835;297;277;146;52;17;46
20.01.2013;03151401020;Osloß;1530;56,1;854;311;313;98;69;15;48
20.01.2013;03151401030;Tappenbeck;1017;61,2;613;182;180;183;29;10;29
20.01.2013;03151401039;Weyhausen;2015;52,9;1047;420;362;123;67;18;57
20.01.2013;03151402;Brome, Samtgemeinde;12107;58,5;7011;2868;2287;676;602;179;399
20.01.2013;03151402003;Bergfeld;734;58,3;425;214;126;39;27;8;11
20.01.2013;03151402005;Brome;2583;50,3;1284;518;352;131;148;42;93
20.01.2013;03151402008;Ehra-Lessien;1282;50,2;638;236;200;85;67;16;34
20.01.2013;03151402021;Parsau;1480;52,8;773;334;266;59;60;26;28
20.01.2013;03151402024;Rühen;3832;52,2;1981;773;713;183;155;46;111
20.01.2013;03151402031;Tiddische;1013;61,1;613;244;217;61;42;15;34
20.01.2013;03151402032;Tülau;1183;55,5;647;269;231;47;45;13;42
20.01.2013;03151403;Hankensbüttel, Samtgemeinde;7244;62,6;4466;1878;1202;499;557;126;204
20.01.2013;03151403007;Dedelstorf;1028;64,9;654;290;159;69;86;18;32
20.01.2013;03151403011;Hankensbüttel;3457;49,1;1672;676;475;211;189;47;74
20.01.2013;03151403019;Obernholz;714;65,5;460;234;92;37;70;9;18
20.01.2013;03151403028;Sprakensehl;994;59,9;588;229;166;71;80;16;26
20.01.2013;03151403029;Steinhorst, Niedersachs;1051;58,1;597;249;173;52;68;24;31
20.01.2013;03151404;Isenbüttel, Samtgemeinde;11991;61,0;7232;2707;2439;981;437;194;474
20.01.2013;03151404006;Calberlah;4013;55,0;2185;896;738;240;92;50;169
20.01.2013;03151404013;Isenbüttel;4915;53,4;2597;950;862;372;206;71;136
20.01.2013;03151404022;Ribbesbüttel;1594;54,7;864;276;307;131;56;26;68
20.01.2013;03151404037;Wasbüttel;1469;61,1;882;319;305;126;34;32;66
