GENESIS-Tabelle: 14335-01-02-5
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.05.2012;05111000;Düsseldorf, krsfr. Stadt;412928;60,8;248419;63750;84627;34455;31581;7420;26586
13.05.2012;05112000;Duisburg, krsfr. Stadt;340508;53,0;177723;29384;92925;15827;8756;6675;24156
13.05.2012;05113000;Essen, krsfr. Stadt;430440;58,8;250042;49903;112506;30098;18878;7205;31452
13.05.2012;05114000;Krefeld, krsfr. Stadt;166917;56,7;93308;22619;35472;10950;10165;2388;11714
13.05.2012;05116000;Mönchengladbach, krsfr. Stadt;193297;53,2;101300;29225;36603;9877;9711;2577;13307
13.05.2012;05117000;Mülheim an der Ruhr, krsfr. Stadt;126912;62,4;78169;14714;36217;9587;6934;1876;8841
13.05.2012;05119000;Oberhausen, krsfr. Stadt;157015;57,2;88390;15495;45247;8163;3918;2838;12729
13.05.2012;05120000;Remscheid, krsfr. Stadt;79758;55,1;43284;10188;16425;4373;4348;1222;6728
13.05.2012;05122000;Solingen, krsfr. Stadt;113649;58,6;65680;15248;24582;7780;6703;1646;9721
13.05.2012;05124000;Wuppertal, krsfr. Stadt;247797;56,8;138661;26676;55441;19512;13180;5216;18636
13.05.2012;05154004;Bedburg-Hau;9565;63,3;5957;2170;1981;487;574;81;664
13.05.2012;05154008;Emmerich am Rhein;20248;56,2;11222;3317;4516;993;900;290;1206
13.05.2012;05154012;Geldern;25632;59,9;15176;5476;4940;1280;1474;265;1741
13.05.2012;05154016;Goch;24347;56,8;13624;4834;4536;1096;1282;282;1594
13.05.2012;05154020;Issum;9564;67,3;6345;2040;2348;499;625;119;714
13.05.2012;05154024;Kalkar;10277;57,0;5766;2151;1852;492;476;133;662
13.05.2012;05154028;Kerken;10050;65,5;6506;2226;2240;603;585;91;761
13.05.2012;05154032;Kevelaer;21176;60,5;12626;4906;3656;1127;1250;200;1487
13.05.2012;05154036;Kleve, Niederrhein;35652;53,9;18953;6164;6515;1926;2016;359;1973
13.05.2012;05154040;Kranenburg, Niederrhein;5825;63,5;3636;1535;1113;289;295;29;375
13.05.2012;05154044;Rees;16990;59,8;10040;3207;3804;989;682;229;1129
13.05.2012;05154048;Rheurdt;5347;68,3;3603;1056;1361;384;338;76;388
13.05.2012;05154052;Straelen;11378;61,8;6965;3157;1769;562;653;102;722
13.05.2012;05154056;Uedem;6249;63,1;3879;1532;1186;302;369;70;420
13.05.2012;05154060;Wachtendonk;6130;62,6;3794;1464;1039;412;420;41;418
13.05.2012;05154064;Weeze;7244;53,4;3807;1434;1206;295;262;86;524
13.05.2012;05158004;Erkrath;34437;63,7;21671;5602;7872;2652;2665;451;2429
13.05.2012;05158008;Haan;23659;67,0;15655;4131;5519;1870;2137;297;1701
13.05.2012;05158012;Heiligenhaus;19201;61,5;11636;3003;4666;994;1267;264;1442
