GENESIS-Tabelle: 14336-01-02-5
Landtagswahlen: Hessen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Hessen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
22.09.2013;06411000;Darmstadt, krsfr. Stadt;103889;74,3;75658;22434;21168;16039;3390;5217;7410
22.09.2013;06412000;Frankfurt am Main, krsfr. Stadt;410788;70,6;284159;93512;78925;47352;17946;21837;24587
22.09.2013;06413000;Offenbach am Main, krsfr. Stadt;66480;65,6;42408;13658;12124;6403;1798;3395;5030
22.09.2013;06414000;Wiesbaden, krsfr. Stadt;187940;69,9;128445;47530;38680;16943;8277;6480;10535
22.09.2013;06431001;Abtsteinach;1962;79,5;1528;777;313;95;50;36;257
22.09.2013;06431002;Bensheim;29720;75,0;21751;9162;5841;2755;1219;820;1954
22.09.2013;06431003;Biblis;6897;75,7;5027;2244;1354;329;235;183;682
22.09.2013;06431004;Birkenau;7688;77,9;5847;2380;1662;601;256;229;719
22.09.2013;06431005;Bürstadt;11770;74,8;8524;3958;2403;616;359;320;868
22.09.2013;06431006;Einhausen, Hess;4951;79,1;3810;1695;1025;419;205;100;366
22.09.2013;06431007;Fürth;8008;74,7;5809;2734;1499;459;200;211;706
22.09.2013;06431008;Gorxheimertal;3112;74,6;2265;1013;611;163;102;84;292
22.09.2013;06431009;Grasellenbach;2891;70,9;1961;806;632;150;86;79;208
22.09.2013;06431010;Groß-Rohrheim;2873;76,5;2123;620;729;171;90;95;418
22.09.2013;06431011;Heppenheim (Bergstraße);18802;75,4;13772;5897;3740;1550;681;652;1252
22.09.2013;06431012;Hirschhorn (Neckar);2663;72,6;1891;798;515;166;79;90;243
22.09.2013;06431013;Lampertheim;24265;72,4;17138;6422;5944;1385;807;782;1798
22.09.2013;06431014;Lautertal (Odenwald);5620;79,0;4292;1687;1537;411;165;119;373
22.09.2013;06431015;Lindenfels;3966;72,8;2811;1196;795;274;122;108;316
22.09.2013;06431016;Lorsch;10172;76,4;7547;3411;2031;841;332;250;682
22.09.2013;06431017;Mörlenbach;7722;75,2;5627;2515;1378;531;307;218;678
22.09.2013;06431018;Neckarsteinach;2884;79,1;2229;884;669;284;81;102;209
22.09.2013;06431019;Rimbach, Odenw;6467;76,3;4813;1902;1550;438;232;182;509
22.09.2013;06431020;Viernheim;23093;68,3;15389;6360;4711;1244;641;705;1728
22.09.2013;06431021;Wald-Michelbach;7996;70,3;5417;2127;1726;425;230;283;626
22.09.2013;06431022;Zwingenberg (Bergstraße);5111;80,7;4009;1562;1071;569;285;148;374
22.09.2013;06431200;Michelbuch, gem.fr. Geb.;-;-;-;-;-;-;-;-;-
22.09.2013;06432001;Alsbach-Hähnlein;6966;77,9;5293;1931;1516;830;293;232;491
22.09.2013;06432002;Babenhausen, Hess;11334;73,9;8012;3111;2410;666;443;393;989
22.09.2013;06432003;Bickenbach, Bergstr;4147;79,2;3202;1171;954;439;177;148;313
