GENESIS-Tabelle: 14337-01-02-5
Landtagswahlen: Rheinland-Pfalz - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahltag - regionale Tiefe: Gemeinden, Verbandsgemeinden;;;;;;;;;;;
Landtagswahlen: Rheinland.Pfalz;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;07111000;Koblenz, krsfr. Stadt;84900;67,5;56701;18353;19881;4186;3941;2246;8094
13.03.2016;0713100007;Bad Neuenahr-Ahrweiler, verbandsfr. Gemeinde;21964;67,8;14705;6165;4146;875;1153;363;2003
13.03.2016;0713100070;Remagen, verbandsfr. Gemeinde;12322;64,9;7898;2642;2588;596;576;252;1244
13.03.2016;0713100077;Sinzig, verbandsfr. Gemeinde;13205;65,2;8522;3155;2615;753;558;200;1241
13.03.2016;0713100090;Grafschaft, verbandsfr. Gemeinde;8637;71,5;6116;2375;1849;356;441;128;967
13.03.2016;0713101;Adenau, Verbandsgem.;10550;70,9;7339;3754;1590;248;605;161;981
13.03.2016;0713101001;Adenau;2191;65,4;1415;686;289;43;157;34;206
13.03.2016;0713101004;Antweiler;427;75,4;313;137;85;8;36;12;35
13.03.2016;0713101005;Aremberg;181;76,2;133;51;29;7;9;10;27
13.03.2016;0713101008;Barweiler;329;79,3;254;148;39;6;25;9;27
13.03.2016;0713101009;Bauler b Barweiler;47;80,9;38;25;2;3;2;0;6
13.03.2016;0713101015;Dankerath;67;73,1;47;24;4;1;3;0;15
13.03.2016;0713101018;Dorsel;166;71,1;114;53;37;4;4;1;15
13.03.2016;0713101021;Eichenbach;55;85,5;47;21;14;1;6;0;5
13.03.2016;0713101022;Fuchshofen;73;68,5;49;30;15;1;1;0;2
13.03.2016;0713101026;Harscheid;112;65,2;71;32;18;5;3;1;12
13.03.2016;0713101028;Herschbroich;203;71,9;141;76;24;4;16;1;20
13.03.2016;0713101030;Hoffeld, Eifel;233;70,0;161;84;37;2;8;2;28
13.03.2016;0713101032;Honerath;132;75,0;99;50;23;3;6;5;12
13.03.2016;0713101033;Hümmel;409;69,4;280;140;52;24;9;6;49
13.03.2016;0713101034;Insul;402;67,4;267;145;75;15;8;5;19
13.03.2016;0713101037;Kaltenborn;298;72,1;212;128;35;5;22;2;20
13.03.2016;0713101042;Kottenborn;125;73,6;90;49;18;3;4;0;16
13.03.2016;0713101044;Leimbach b Adenau;376;69,1;256;122;85;5;14;5;25
13.03.2016;0713101050;Meuspath;113;77,0;86;46;18;1;7;2;12
13.03.2016;0713101051;Müllenbach b Adenau;384;79,7;302;143;78;7;33;5;36
13.03.2016;0713101052;Müsch;163;76,1;120;77;16;2;9;1;15
13.03.2016;0713101058;Nürburg;139;84,9;118;93;8;0;7;0;10
13.03.2016;0713101062;Ohlenhard;127;74,8;93;36;28;7;6;2;14
13.03.2016;0713101065;Pomster;137;67,9;91;47;11;4;13;4;12
13.03.2016;0713101066;Quiddelbach;205;73,2;147;79;40;3;6;3;16
13.03.2016;0713101069;Reifferscheid;420;74,3;310;166;67;21;26;5;25
13.03.2016;0713101072;Rodder;194;73,2;140;90;15;5;13;2;15
