GENESIS-Tabelle: 14338-01-02-5
Landtagswahlen: Baden-Württemberg - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Baden-Württemberg;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;08111000;Stuttgart, Landeshauptstadt, Stadtkreis;373434;72,8;270268;59978;32046;98383;25529;14241;40091
13.03.2016;08115001;Aidlingen;6584;73,2;3953;1178;473;1101;370;66;765
13.03.2016;08115002;Altdorf;3336;76,2;2126;665;249;634;174;31;373
13.03.2016;08115003;Böblingen, Stadt;32344;63,4;17507;4482;2829;4463;1462;537;3734
13.03.2016;08115004;Bondorf;4129;72,2;2513;759;258;751;216;49;480
13.03.2016;08115010;Deckenpfronn;2454;73,4;1464;491;144;392;106;35;296
13.03.2016;08115013;Ehningen;6111;73,4;3753;1096;501;1152;326;55;623
13.03.2016;08115015;Gärtringen;8409;71,6;5020;1646;627;1334;383;106;924
13.03.2016;08115016;Gäufelden;6504;70,6;3813;1086;402;1097;318;77;833
13.03.2016;08115021;Herrenberg, Stadt;22366;71,0;13478;3757;1495;4315;1194;347;2370
13.03.2016;08115022;Hildrizhausen;2578;72,3;1508;458;213;387;134;27;289
13.03.2016;08115024;Holzgerlingen, Stadt;8969;72,2;5331;1548;620;1677;445;127;914
13.03.2016;08115028;Leonberg, Stadt;31306;68,9;17558;4160;2139;6230;1699;474;2856
13.03.2016;08115029;Magstadt;5775;66,3;3232;772;452;929;311;70;698
13.03.2016;08115034;Mötzingen;2509;69,1;1518;509;161;334;120;25;369
13.03.2016;08115037;Nufringen;4052;75,3;2370;757;245;609;190;59;510
13.03.2016;08115041;Renningen, Stadt;11850;73,5;7363;1767;1025;2541;579;190;1261
13.03.2016;08115042;Rutesheim, Stadt;7519;74,3;4692;1359;606;1531;391;85;720
13.03.2016;08115044;Schönaich;6926;69,8;4071;1278;523;1134;329;76;731
13.03.2016;08115045;Sindelfingen, Stadt;38704;63,3;21023;5280;3224;5680;1796;661;4382
13.03.2016;08115046;Steinenbronn;4149;67,2;2249;567;257;663;174;48;540
13.03.2016;08115048;Waldenbuch, Stadt;6047;75,0;3740;961;415;1217;378;54;715
13.03.2016;08115050;Weil der Stadt, Stadt;13465;70,5;7965;1928;932;2538;811;213;1543
13.03.2016;08115051;Weil im Schönbuch;6908;71,7;4061;1234;495;1141;325;76;790
13.03.2016;08115052;Weissach;5495;77,3;3450;1021;347;1242;290;58;492
13.03.2016;08115053;Jettingen;5378;69,5;3312;1043;356;817;281;58;757
13.03.2016;08115054;Grafenau;4861;69,1;2748;796;279;831;269;37;536
13.03.2016;08116004;Altbach;3870;70,5;2228;579;365;594;163;61;466
13.03.2016;08116005;Altdorf;1216;77,8;794;219;65;273;73;12;152
13.03.2016;08116006;Altenriet;1406;77,6;925;205;102;300;95;13;210
13.03.2016;08116007;Baltmannsweiler;4230;73,1;2419;609;327;804;204;38;437
13.03.2016;08116008;Bempflingen;2584;73,4;1556;361;214;524;127;36;294
