GENESIS-Tabelle: 14339-01-02-5
Landtagswahlen: Bayern - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Bayern;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.09.2013;09161000;Ingolstadt;89885;55,5;49018;24479;9942;3728;1571;1519;7781
15.09.2013;09162000;München, Landeshauptstadt;909641;62,7;562863;206491;180832;68127;31401;13119;62895
15.09.2013;09163000;Rosenheim;41312;57,7;23440;11382;4471;2427;660;487;4015
15.09.2013;09171111;Altötting, St;9752;55,8;5335;2922;1008;277;101;97;931
15.09.2013;09171112;Burghausen, St;13347;61,6;8051;3819;2227;650;260;166;930
15.09.2013;09171113;Burgkirchen a.d.Alz;7571;57,9;4307;2474;810;165;87;57;716
15.09.2013;09171114;Emmerting;3172;64,1;1991;1041;411;126;38;20;356
15.09.2013;09171115;Erlbach;952;71,0;668;434;47;22;5;7;155
15.09.2013;09171116;Feichten a.d.Alz;902;69,0;610;369;85;47;12;13;86
15.09.2013;09171117;Garching a.d.Alz;6598;58,4;3767;2090;754;175;72;67;610
15.09.2013;09171118;Haiming;1963;70,1;1356;815;214;81;18;9;220
15.09.2013;09171119;Halsbach;696;75,1;519;322;69;24;7;5;92
15.09.2013;09171121;Kastl;2063;67,5;1364;773;200;83;19;11;279
15.09.2013;09171122;Kirchweidach;1725;63,5;1079;683;147;72;28;13;137
15.09.2013;09171123;Marktl, M;2148;69,9;1469;818;319;74;37;30;192
15.09.2013;09171124;Mehring;1717;70,2;1182;661;257;61;30;7;168
15.09.2013;09171125;Neuötting, St;6385;59,0;3689;1998;689;217;74;51;662
15.09.2013;09171126;Perach;978;73,7;716;406;134;45;9;5;119
15.09.2013;09171127;Pleiskirchen;1900;74,3;1403;947;178;53;23;7;196
15.09.2013;09171129;Reischach;2075;69,0;1411;841;162;62;19;17;311
15.09.2013;09171130;Stammham;817;70,7;561;314;87;20;11;10;120
15.09.2013;09171131;Teising;1477;64,5;938;530;179;39;13;7;171
15.09.2013;09171132;Töging a.Inn, St;7234;57,7;4087;2055;1252;159;54;66;503
15.09.2013;09171133;Tüßling, M;2536;68,5;1710;954;365;82;23;27;260
15.09.2013;09171134;Tyrlaching;738;64,8;471;311;42;28;4;1;86
15.09.2013;09171135;Unterneukirchen;2191;58,8;1271;821;192;42;17;18;182
15.09.2013;09171137;Winhöring;3748;64,7;2359;1293;450;114;48;26;428
15.09.2013;09172111;Ainring;6954;59,4;4056;2390;589;315;77;56;630
15.09.2013;09172112;Anger;3267;64,1;2050;1226;208;231;40;17;328
15.09.2013;09172114;Bad Reichenhall, GKSt;12775;59,0;7355;4153;1285;702;220;127;870
15.09.2013;09172115;Bayerisch Gmain;2103;65,2;1345;714;191;197;85;17;143
15.09.2013;09172116;Berchtesgaden, M;5592;63,7;3486;1640;394;400;64;53;936
15.09.2013;09172117;Bischofswiesen;5974;58,7;3433;1762;464;400;63;35;710
15.09.2013;09172118;Freilassing, St;10337;52,4;5295;2711;1063;500;100;114;809
