GENESIS-Tabelle: 14340-01-02-5
Landtagswahlen: Saarland - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Saarland;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
26.03.2017;10041100;Saarbrücken, Landeshauptstadt;127531;64,9;81837;27200;22919;5975;3751;13953;8039
26.03.2017;10041511;Friedrichsthal, Saar;8441;65,3;5441;1961;1899;129;132;739;581
26.03.2017;10041512;Grossrosseln;6502;73,5;4690;1785;1591;135;97;616;466
26.03.2017;10041513;Heusweiler;14978;74,1;10960;4428;3108;387;756;1328;953
26.03.2017;10041514;Kleinblittersdorf;9269;71,9;6576;2823;1893;246;211;792;611
26.03.2017;10041515;Püttlingen;15560;74,8;11503;5639;2640;301;316;1577;1030
26.03.2017;10041516;Quierschied;10795;72,1;7681;3277;2191;223;255;913;822
26.03.2017;10041517;Riegelsberg;11948;73,8;8745;3727;2352;377;348;1265;676
26.03.2017;10041518;Sulzbach, Saar;12718;64,7;8123;2891;2494;207;227;1247;1057
26.03.2017;10041519;Völklingen;27855;63,1;17318;5791;5664;475;489;2921;1978
26.03.2017;10042111;Beckingen;12306;73,1;8924;3414;3175;229;218;1120;768
26.03.2017;10042112;Losheim am See;12742;72,2;9100;3947;2969;266;282;881;755
26.03.2017;10042113;Merzig;22987;68,3;15505;6276;4839;535;517;1941;1397
26.03.2017;10042114;Mettlach;8975;70,3;6257;2779;1887;158;198;714;521
26.03.2017;10042115;Perl;4541;75,0;3375;1642;981;191;140;234;187
26.03.2017;10042116;Wadern;12762;75,5;9490;4187;3341;287;216;781;678
26.03.2017;10042117;Weiskirchen;5201;71,1;3639;1584;1169;116;103;316;351
26.03.2017;10043111;Eppelborn;14312;72,5;10259;4955;2710;303;295;1049;947
26.03.2017;10043112;Illingen, Saar;13935;73,6;10136;4590;2965;291;272;1128;890
26.03.2017;10043113;Merchweiler;8388;70,3;5819;2349;1927;144;111;694;594
26.03.2017;10043114;Neunkirchen, Saar;34358;59,5;20160;6512;7377;576;557;2771;2367
26.03.2017;10043115;Ottweiler;11818;70,9;8279;3028;2680;319;218;1179;855
26.03.2017;10043116;Schiffweiler;13078;69,1;8915;3095;3173;283;222;1227;915
26.03.2017;10043117;Spiesen-Elversberg;10895;65,7;7095;2690;2349;208;204;904;740
26.03.2017;10044111;Dillingen, Saar;14831;63,7;9321;3653;2723;357;276;1427;885
26.03.2017;10044112;Lebach;14858;73,9;10831;5250;2658;354;408;1134;1027
26.03.2017;10044113;Nalbach;7411;72,6;5312;2244;1616;217;139;645;451
26.03.2017;10044114;Rehlingen-Siersburg;11723;75,7;8767;3296;3236;298;239;1000;698
26.03.2017;10044115;Saarlouis;27139;66,7;17905;7453;5160;880;660;2241;1511
26.03.2017;10044116;Saarwellingen;10798;72,6;7758;3456;2178;289;246;957;632
26.03.2017;10044117;Schmelz;12888;71,7;9110;3832;2780;304;244;1106;844
26.03.2017;10044118;Schwalbach, Saar;14272;73,1;10325;4437;2729;338;286;1512;1023
