GENESIS-Tabelle: 14341-01-02-5
Landtagswahlen: Berlin - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Stadtbezirke;;;;;;;;;;;
Landtagswahlen: Berlin;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
18.09.2016;11000000;Berlin, Stadt;2485379;66,9;1635169;287997;352430;248324;109500;255701;381217
18.09.2016;11001;Berlin-Mitte;204769;62,6;126106;17076;27172;26901;8333;22154;24470
18.09.2016;11002;Berlin-Friedrichshain-Kreuzberg;170908;68,5;115605;9053;21087;32778;4517;27016;21154
18.09.2016;11003;Berlin-Pankow;285240;69,9;196521;24719;39583;35145;8667;42196;46211
18.09.2016;11004;Berlin-Charlottenburg-Wilmersdorf;217586;70,0;150208;30545;34318;27822;18454;13922;25147
18.09.2016;11005;Berlin-Spandau;162760;63,5;101145;24835;27740;8779;7703;6726;25362
18.09.2016;11006;Berlin-Steglitz-Zehlendorf;218473;74,5;160803;41065;34737;26976;19051;11152;27822
18.09.2016;11007;Berlin-Tempelhof-Schöneberg;233874;68,9;158582;31622;39427;29615;12465;15348;30105
18.09.2016;11008;Berlin-Neukölln;202453;63,2;125446;22356;29243;20308;7209;17017;29313
18.09.2016;11009;Berlin-Treptow-Köpenick;202428;68,1;135575;17502;27720;12278;5494;30667;41914
18.09.2016;11010;Berlin-Marzahn-Hellersdorf;200519;60,9;119889;20761;20329;5346;3411;28216;41826
18.09.2016;11011;Berlin-Lichtenberg;204711;62,9;126377;15223;24950;9749;3694;34041;38720
18.09.2016;11012;Berlin-Reinickendorf;181658;66,8;118912;33240;26124;12627;10502;7246;29173
18.09.2011;11000000;Berlin, Stadt;2469716;60,2;1461185;341158;413332;257063;26943;171050;251639
18.09.2011;11001;Berlin-Mitte;197148;55,9;108367;19348;31057;24331;1880;11891;19860
18.09.2011;11002;Berlin-Friedrichshain-Kreuzberg;171249;62,2;104921;8785;25107;31748;1043;13590;24648
18.09.2011;11003;Berlin-Pankow;283368;60,8;169595;23448;49388;32369;2158;30354;31878
18.09.2011;11004;Berlin-Charlottenburg-Wilmersdorf;216762;65,1;138849;39169;43323;30142;4196;5015;17004
18.09.2011;11005;Berlin-Spandau;162922;58,0;92543;31652;29294;11538;1900;3454;14705
18.09.2011;11006;Berlin-Steglitz-Zehlendorf;217191;70,0;149686;54140;37507;31536;4533;4512;17458
18.09.2011;11007;Berlin-Tempelhof-Schöneberg;232529;64,1;146379;42369;39643;33621;2984;5891;21871
18.09.2011;11008;Berlin-Neukölln;200578;57,2;112084;29888;30752;20018;2013;6320;23093
18.09.2011;11009;Berlin-Treptow-Köpenick;199830;60,9;119336;18975;34452;12813;1395;27408;24293
18.09.2011;11010;Berlin-Marzahn-Hellersdorf;202868;51,0;101723;17780;28636;5732;1314;27863;20398
18.09.2011;11011;Berlin-Lichtenberg;203709;53,5;107094;13182;33107;8128;936;31076;20665
18.09.2011;11012;Berlin-Reinickendorf;181562;62,1;110608;42422;31066;15087;2591;3676;15766
17.09.2006;11000000;Berlin, Stadt;2425480;58,0;1377355;294026;424054;180865;104584;185185;188641
17.09.2006;11001;Berlin-Mitte;190550;54,5;101803;17360;33073;17442;6976;12921;14031
17.09.2006;11002;Berlin-Friedrichshain-Kreuzberg;165331;55,9;90619;7869;27295;24142;3696;15188;12429
17.09.2006;11003;Berlin-Pankow;274380;55,9;150612;17556;45742;23924;7537;33528;22325
17.09.2006;11004;Berlin-Charlottenburg-Wilmersdorf;216374;64,5;136840;36003;46637;22472;14173;5036;12519
17.09.2006;11005;Berlin-Spandau;160411;58,6;91089;28389;30401;7522;7776;3417;13584
17.09.2006;11006;Berlin-Steglitz-Zehlendorf;213787;68,7;144397;45835;40199;22736;18342;4404;12881
17.09.2006;11007;Berlin-Tempelhof-Schöneberg;231249;62,8;141883;38277;44064;23961;13029;5643;16909
17.09.2006;11008;Berlin-Neukölln;193014;55,5;104219;29855;32748;11793;8039;5257;16527
17.09.2006;11009;Berlin-Treptow-Köpenick;193936;57,5;108962;13758;34561;7531;5488;29913;17711
17.09.2006;11010;Berlin-Marzahn-Hellersdorf;201209;49,3;96810;12658;26618;4194;4625;31426;17289
17.09.2006;11011;Berlin-Lichtenberg;201096;49,7;97916;9355;28833;5121;4127;34890;15590
17.09.2006;11012;Berlin-Reinickendorf;184143;62,3;112205;37111;33883;10027;10776;3562;16846
__________
"zu ""Gültige Stimmen"":
Berlin: Zweitstimmen
 
zu ""Gültigen Stimmen nach Parteien"":
Berlin: Zweitstimmen
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2017.
Dieses Werk ist lizensiert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 10.10.2017 / 16:24:49
