GENESIS-Tabelle: 14342-01-02-5
Landtagswahlen: Brandenburg- Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Brandenburg;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.09.2014;12051000;Brandenburg an der Havel, krsfr. Stadt;61179;38,2;23008;5737;8341;1342;229;4045;3314
14.09.2014;12052000;Cottbus, krsfr. Stadt;83652;49,5;40502;11691;12886;1838;448;6975;6664
14.09.2014;12053000;Frankfurt (Oder), krsfr. Stadt;48117;46,2;21888;4251;5411;1160;242;5442;5382
14.09.2014;12054000;Potsdam, krsfr. Stadt;130541;55,7;71830;12707;20573;9755;1149;17009;10637
14.09.2014;12060005;Ahrensfelde;11141;49,9;5496;1214;1441;237;56;1388;1160
14.09.2014;12060012;Althüttendorf;537;44,3;235;92;69;10;4;34;26
14.09.2014;12060020;Bernau bei Berlin;31269;49,6;15143;2571;3928;775;125;4073;3671
14.09.2014;12060024;Biesenthal;4745;35,8;1671;324;425;138;17;394;373
14.09.2014;12060034;Breydin;674;46,7;308;83;107;14;5;55;44
14.09.2014;12060036;Britz;1898;39,0;733;177;263;39;20;122;112
14.09.2014;12060045;Chorin;1992;46,4;904;253;285;72;20;150;124
14.09.2014;12060052;Eberswalde;33844;40,5;13413;2937;4365;889;352;2884;1986
14.09.2014;12060068;Friedrichswalde;729;45,0;324;163;69;11;4;39;38
14.09.2014;12060092;Hohenfinow;448;39,3;175;43;41;6;5;44;36
14.09.2014;12060096;Hohensaaten;-;-;-;-;-;-;-;-;-
14.09.2014;12060100;Joachimsthal;2853;29,8;838;232;231;29;14;184;148
14.09.2014;12060128;Liepe, b Eberswalde;612;32,0;191;49;63;9;4;33;33
14.09.2014;12060149;Lunow-Stolzenhagen;1030;35,2;354;93;112;26;7;63;53
14.09.2014;12060154;Marienwerder;1519;41,5;624;151;186;28;6;113;140
14.09.2014;12060161;Melchow;832;44,7;363;85;115;35;3;58;67
14.09.2014;12060172;Niederfinow;537;36,9;197;50;54;18;10;34;31
14.09.2014;12060176;Oderberg;1900;29,5;548;121;184;15;4;88;136
14.09.2014;12060181;Panketal;16865;51,4;8588;1655;2525;733;116;1981;1578
14.09.2014;12060185;Parsteinsee;436;32,3;139;32;53;10;0;23;21
14.09.2014;12060192;Rüdnitz;1680;37,6;621;120;180;39;9;167;106
14.09.2014;12060198;Schorfheide;8748;45,7;3930;993;1202;159;59;820;697
14.09.2014;12060250;Sydower Fließ;720;46,9;328;68;108;19;9;73;51
14.09.2014;12060269;Wandlitz;18457;47,9;8747;1966;2424;561;124;1943;1729
14.09.2014;12060280;Werneuchen;6970;42,9;2935;548;889;103;28;725;642
14.09.2014;12060296;Ziethen;365;46,8;167;25;45;17;5;37;38
14.09.2014;12061005;Alt Zauche-Wußwerk;456;52,2;232;71;79;6;5;30;41
14.09.2014;12061017;Bersteland;752;50,7;377;142;102;15;5;23;90
14.09.2014;12061020;Bestensee;5942;50,0;2930;586;790;130;29;624;771
