GENESIS-Tabelle: 14343-01-02-5
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
04.09.2016;13003000;Rostock, krsfr. Stadt;168495;63,2;105125;16191;34315;8457;3222;17434;25506
04.09.2016;13004000;Schwerin, krsfr. Stadt;76935;65,2;49030;8638;17224;3161;1531;6976;11500
04.09.2016;13071001;Alt Schwerin;479;48,4;225;39;68;6;3;17;92
04.09.2016;13071002;Altenhagen;255;56,9;140;29;32;5;2;19;53
04.09.2016;13071003;Altenhof;301;50,8;148;26;43;3;5;25;46
04.09.2016;13071004;Altentreptow, Stadt;4548;42,7;1884;324;488;36;84;215;737
04.09.2016;13071005;Ankershagen;467;59,7;274;53;71;11;6;40;93
04.09.2016;13071006;Bartow;424;50,0;207;41;51;4;9;21;81
04.09.2016;13071007;Basedow;586;48,3;279;56;101;5;8;39;70
04.09.2016;13071008;Beggerow;421;57,7;233;63;53;9;4;24;80
04.09.2016;13071009;Beseritz;103;77,7;80;21;22;2;3;8;24
04.09.2016;13071010;Blankenhof;595;58,8;336;64;96;7;4;41;124
04.09.2016;13071011;Blankensee;1349;55,1;716;134;187;28;8;90;269
04.09.2016;13071012;Blumenholz;633;56,4;348;95;86;17;4;42;104
04.09.2016;13071013;Bollewick;527;49,1;252;48;82;15;7;33;67
04.09.2016;13071014;Borrentin;672;44,5;291;70;59;12;13;31;106
04.09.2016;13071015;Bredenfelde;152;69,1;102;17;39;2;2;18;24
04.09.2016;13071016;Breesen;425;47,8;194;16;44;2;3;34;95
04.09.2016;13071017;Breest;118;48,3;57;7;15;1;5;5;24
04.09.2016;13071018;Briggow;279;53,0;141;31;38;2;2;14;54
04.09.2016;13071019;Brunn;848;58,7;483;121;118;15;15;50;164
04.09.2016;13071020;Buchholz;116;58,6;62;13;19;2;5;2;21
04.09.2016;13071021;Burg Stargard, Stadt;4410;51,0;2202;427;589;60;55;232;839
04.09.2016;13071022;Burow;828;48,1;389;77;103;8;8;44;149
04.09.2016;13071023;Bütow;373;44,8;164;31;41;5;3;23;61
04.09.2016;13071024;Cammin;-;-;-;-;-;-;-;-;-
04.09.2016;13071025;Carpin;737;58,2;420;109;109;15;11;43;133
04.09.2016;13071026;Cölpin;651;58,5;373;86;100;9;8;45;125
04.09.2016;13071027;Dargun, Stadt;3762;53,9;1955;487;613;49;43;210;553
04.09.2016;13071028;Datzetal;721;54,4;388;99;83;6;6;60;134
04.09.2016;13071029;Demmin, Hansestadt;9539;40,0;3689;719;883;62;64;437;1524
04.09.2016;13071030;Duckow;188;58,0;106;22;30;3;4;9;38
04.09.2016;13071031;Eichhorst;-;-;-;-;-;-;-;-;-
04.09.2016;13071032;Faulenrost;544;49,3;258;94;66;9;8;24;57
04.09.2016;13071033;Feldberger Seenlandschaft;3809;48,8;1816;463;492;88;39;219;515
