GENESIS-Tabelle: 14344-01-02-5
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.08.2014;14161000;Chemnitz, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14166000;Plauen, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14167000;Zwickau, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14171000;Annaberg, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14173000;Chemnitzer Land, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14177000;Freiberg, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14178000;Vogtlandkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14181000;Mittlerer Erzgebirgskreis;-;-;-;-;-;-;-;-;-
31.08.2014;14182000;Mittweida, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14188000;Stollberg, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14191000;Aue-Schwarzenberg, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14193000;Zwickauer Land, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14262000;Dresden, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14263000;Görlitz, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14264000;Hoyerswerda, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14272000;Bautzen, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14280000;Meißen, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14284000;Niederschlesischer Oberlausitzkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14285000;Riesa-Großenhain, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14286000;Löbau-Zittau, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14287000;Sächsische Schweiz, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14290000;Weißeritzkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14292000;Kamenz, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14365000;Leipzig, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14374000;Delitzsch, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14375000;Döbeln, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14379000;Leipziger Land, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14383000;Muldentalkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14389000;Torgau-Oschatz, Landkreis;-;-;-;-;-;-;-;-;-
31.08.2014;14511000;Chemnitz, Stadt;199440;47,0;92904;32906;12892;5677;3302;21840;16287
31.08.2014;14521010;Amtsberg;3174;56,5;1754;829;206;67;74;264;314
31.08.2014;14521020;Annaberg-Buchholz, Stadt;17490;46,3;8003;3225;799;269;224;1604;1882
