GENESIS-Tabelle: 14345-01-02-5
Landtagswahlen: Sachsen-Anhalt - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Sachsen-Anhalt;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;15001000;Dessau-Roßlau, Stadt;69635;63,3;43256;12412;4412;2978;2613;7570;13271
13.03.2016;15002000;Halle (Saale), Stadt;188192;63,7;117714;28922;13604;12558;7444;22331;32855
13.03.2016;15003000;Magdeburg, Landeshauptstadt;192105;62,7;118511;35071;14144;9591;5684;20598;33423
13.03.2016;15081005;Ahlum;-;-;-;-;-;-;-;-;-
13.03.2016;15081010;Algenstedt;-;-;-;-;-;-;-;-;-
13.03.2016;15081015;Altensalzwedel;-;-;-;-;-;-;-;-;-
13.03.2016;15081020;Altmersleben;-;-;-;-;-;-;-;-;-
13.03.2016;15081025;Apenburg;-;-;-;-;-;-;-;-;-
13.03.2016;15081026;Apenburg-Winterfeld, Flecken;1410;67,5;911;313;124;49;36;120;269
13.03.2016;15081030;Arendsee (Altmark), Stadt;5739;53,1;2987;942;372;192;126;565;790
13.03.2016;15081035;Badel;-;-;-;-;-;-;-;-;-
13.03.2016;15081040;Bandau;-;-;-;-;-;-;-;-;-
13.03.2016;15081045;Beetzendorf;2727;49,9;1335;431;163;112;39;213;377
13.03.2016;15081050;Benkendorf;-;-;-;-;-;-;-;-;-
13.03.2016;15081055;Berge b. Gardelegen;-;-;-;-;-;-;-;-;-
13.03.2016;15081060;Bierstedt;-;-;-;-;-;-;-;-;-
13.03.2016;15081065;Binde;-;-;-;-;-;-;-;-;-
13.03.2016;15081070;Bonese;-;-;-;-;-;-;-;-;-
13.03.2016;15081075;Bornsen;-;-;-;-;-;-;-;-;-
13.03.2016;15081080;Breitenfeld;-;-;-;-;-;-;-;-;-
13.03.2016;15081085;Brunau;-;-;-;-;-;-;-;-;-
13.03.2016;15081090;Chüden;-;-;-;-;-;-;-;-;-
13.03.2016;15081095;Dähre;1243;53,7;654;215;93;56;26;90;174
13.03.2016;15081100;Dannefeld;-;-;-;-;-;-;-;-;-
13.03.2016;15081105;Diesdorf, Flecken;1935;50,1;945;298;157;56;36;152;246
13.03.2016;15081110;Dönitz;-;-;-;-;-;-;-;-;-
13.03.2016;15081115;Ellenberg, Altmark;-;-;-;-;-;-;-;-;-
13.03.2016;15081120;Engersen;-;-;-;-;-;-;-;-;-
13.03.2016;15081125;Estedt;-;-;-;-;-;-;-;-;-
13.03.2016;15081130;Fleetmark;-;-;-;-;-;-;-;-;-
13.03.2016;15081135;Gardelegen, Hansestadt;19192;52,6;9874;3180;1259;439;455;1550;2991
13.03.2016;15081140;Gieseritz;-;-;-;-;-;-;-;-;-
13.03.2016;15081145;Güssefeld;-;-;-;-;-;-;-;-;-
13.03.2016;15081150;Hanum;-;-;-;-;-;-;-;-;-
13.03.2016;15081155;Hemstedt;-;-;-;-;-;-;-;-;-
13.03.2016;15081160;Henningen;-;-;-;-;-;-;-;-;-
