GENESIS-Tabelle: 14346-01-02-5
Landtagswahlen: Thüringen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Thüringen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.09.2014;16051000;Erfurt, krsfr. Stadt;166702;54,8;90252;23940;12544;8837;2552;27824;14555
14.09.2014;16052000;Gera, krsfr. Stadt;81277;47,5;38013;10940;3675;1774;781;13502;7341
14.09.2014;16053000;Jena, krsfr. Stadt;83675;56,8;47150;12489;5740;6469;1777;14259;6416
14.09.2014;16054000;Suhl, krsfr. Stadt;31207;51,0;15728;4329;1682;726;284;5913;2794
14.09.2014;16055000;Weimar, krsfr. Stadt;50475;54,7;27312;7974;3273;3778;875;7652;3760
14.09.2014;16056000;Eisenach, krsfr. Stadt;34220;53,1;17901;5346;2192;1276;375;5573;3139
14.09.2014;16061001;Arenshausen;829;38,8;317;152;35;12;5;42;71
14.09.2014;16061002;Asbach-Sickenberg;78;62,8;49;21;5;3;0;10;10
14.09.2014;16061003;Berlingerode;1003;38,1;375;245;37;6;11;36;40
14.09.2014;16061004;Bernterode (bei Heilbad Heiligenstadt);206;58,3;120;82;4;3;0;14;17
14.09.2014;16061005;Bernterode (bei Worbis);-;-;-;-;-;-;-;-;-
14.09.2014;16061007;Birkenfelde;480;49,4;236;129;17;16;6;32;36
14.09.2014;16061009;Bischofferode;-;-;-;-;-;-;-;-;-
14.09.2014;16061011;Bockelnhagen;-;-;-;-;-;-;-;-;-
14.09.2014;16061012;Bodenrode-Westhausen;921;49,7;452;297;21;20;6;44;64
14.09.2014;16061014;Bornhagen;210;55,2;115;34;7;5;2;19;48
14.09.2014;16061015;Brehme;903;51,4;459;188;11;7;3;39;211
14.09.2014;16061017;Breitenworbis;2772;42,1;1155;604;117;35;27;172;200
14.09.2014;16061018;Büttstedt;720;49,3;352;220;26;14;6;18;68
14.09.2014;16061019;Buhla;442;55,4;238;83;49;7;2;48;49
14.09.2014;16061021;Burgwalde;185;58,4;107;65;10;8;0;8;16
14.09.2014;16061022;Deuna;973;53,6;509;330;30;22;11;48;68
14.09.2014;16061023;Dieterode;68;75,0;51;33;6;3;0;1;8
14.09.2014;16061024;Dietzenrode/Vatterode;105;70,5;71;23;9;10;0;18;11
14.09.2014;16061025;Dingelstädt, Stadt;3662;40,6;1466;698;123;68;32;259;286
14.09.2014;16061026;Ecklingerode;597;45,1;266;164;22;8;0;21;51
14.09.2014;16061027;Effelder;1037;48,4;492;343;30;14;12;39;54
14.09.2014;16061028;Eichstruth;68;82,4;56;34;5;2;2;5;8
14.09.2014;16061031;Ferna;463;53,3;243;163;14;7;2;20;37
14.09.2014;16061032;Freienhagen;259;55,6;137;86;10;3;5;9;24
14.09.2014;16061033;Fretterode;142;72,5;100;37;11;1;0;10;41
14.09.2014;16061034;Geisleden;846;46,8;394;240;26;10;6;54;58
14.09.2014;16061035;Geismar;945;43,4;402;207;25;18;6;55;91
