GENESIS-Tabelle: 31111-02-02-5-B
Baugenehmigungen: Errichtung neuer Nichtwohngebäude;;;;
- Jahressumme - regionale Ebenen;;;;
Statistik der Baugenehmigungen;;;;
Nichtwohngebäude;;;;
2015;;;;
;;Nichtwohngebäude;Nutzfläche;Wohnungen
;;Anzahl;1000 qm;Anzahl
01001000;Flensburg, krsfr. Stadt;23;18,8;0
01002000;Kiel, krsfr. Stadt;19;24,9;0
01003000;Lübeck, krsfr. Stadt;43;93,8;0
01004000;Neumünster, krsfr. Stadt;9;48,2;0
01051001;Albersdorf;1;0,1;0
01051002;Arkebek;0;0,0;0
01051003;Averlak;1;1,8;0
01051004;Bargenstedt;2;0,4;0
01051005;Barkenholm;0;0,0;0
01051006;Barlt;0;0,0;0
01051008;Bergewöhrden;1;0,3;0
01051010;Brickeln;0;0,0;0
01051011;Brunsbüttel;17;18,8;0
01051012;Buchholz;2;0,7;0
01051013;Büsum;4;1,1;0
01051014;Büsumer Deichhausen;0;0,0;0
01051015;Bunsoh;1;0,7;0
01051016;Burg (Dithmarschen);2;0,2;0
01051017;Busenwurth;0;0,0;0
01051019;Dellstedt;0;0,0;0
01051020;Delve;0;0,0;0
01051021;Diekhusen-Fahrstedt;0;0,0;0
01051022;Dingen;0;0,0;0
01051023;Dörpling;0;0,0;0
01051024;Eddelak;0;0,0;0
01051026;Eggstedt;1;0,5;0
01051027;Elpersbüttel;1;0,7;0
01051028;Epenwöhrden;1;0,5;0
01051030;Fedderingen;2;0,2;0
01051032;Frestedt;0;0,0;0
01051033;Friedrichsgabekoog;0;0,0;0
01051034;Friedrichskoog;3;0,3;0
01051035;Gaushorn;0;0,0;0
01051036;Glüsing;0;0,0;0
01051037;Großenrade;1;0,9;0
01051038;Groven;0;0,0;0
01051039;Gudendorf;2;1,1;0
01051040;Hägen;-;-;-
01051043;Hedwigenkoog;0;0,0;0
01051044;Heide;9;6,7;0
01051045;Hellschen-Heringsand-Unterschaar;2;1,8;0
01051046;Helse;1;0,0;0
01051047;Hemme;0;0,0;0
01051048;Hemmingstedt;1;1,8;0
01051049;Hennstedt;0;0,0;0
01051050;Hillgroven;0;0,0;0
01051051;Hochdonn;1;0,3;0
01051052;Hövede;1;0,0;0
01051053;Hollingstedt;0;0,0;0
01051054;Immenstedt;0;0,0;0
01051057;Kaiser-Wilhelm-Koog;0;0,0;0
01051058;Karolinenkoog;0;0,0;0
01051060;Kleve, Dithmarschen;1;0,7;0
01051061;Krempel;0;0,0;0
01051062;Kronprinzenkoog;1;0,8;0
01051063;Krumstedt;0;0,0;0
01051064;Kuden;0;0,0;0
01051065;Lehe;0;0,0;0
01051067;Lieth;0;0,0;0
01051068;Linden;0;0,0;0
01051069;Lohe-Rickelshof;0;0,0;0
01051071;Lunden;1;1,4;0
01051072;Marne;2;0,4;0
01051073;Marnerdeich;0;0,0;0
01051074;Meldorf;4;1,4;0
01051075;Neuenkirchen;0;0,0;0
01051076;Neufeld;1;0,5;0
01051077;Neufelderkoog;0;0,0;0
01051078;Nindorf;0;0,0;0
01051079;Norddeich;0;0,0;0
01051080;Norderheistedt;0;0,0;0
01051081;Norderwöhrden;2;1,7;0
