GENESIS-Tabelle: 31111-03-02-5-B
Baugenehmigungen: Wohnungen in Wohn- und Nichtwohngebäuden;;;;;;
(einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01001000;Flensburg, krsfr. Stadt;392;128;70;95;99
01002000;Kiel, krsfr. Stadt;362;94;82;49;137
01003000;Lübeck, krsfr. Stadt;732;174;211;160;187
01004000;Neumünster, krsfr. Stadt;161;9;74;35;43
01051001;Albersdorf;18;4;0;8;6
01051002;Arkebek;0;0;0;0;0
01051003;Averlak;0;0;0;0;0
01051004;Bargenstedt;0;-1;0;0;1
01051005;Barkenholm;0;0;0;0;0
01051006;Barlt;5;0;0;0;5
01051008;Bergewöhrden;0;0;0;0;0
01051010;Brickeln;0;0;0;0;0
01051011;Brunsbüttel;14;-5;7;5;7
01051012;Buchholz;0;0;1;-1;0
01051013;Büsum;78;24;39;6;9
01051014;Büsumer Deichhausen;0;0;0;0;0
01051015;Bunsoh;4;0;0;1;3
01051016;Burg (Dithmarschen);7;2;1;1;3
01051017;Busenwurth;0;0;0;0;0
01051019;Dellstedt;2;0;0;0;2
01051020;Delve;1;0;0;-1;2
01051021;Diekhusen-Fahrstedt;2;0;1;1;0
01051022;Dingen;2;0;0;0;2
01051023;Dörpling;1;0;0;0;1
01051024;Eddelak;2;0;0;0;2
01051026;Eggstedt;4;0;0;2;2
01051027;Elpersbüttel;3;0;0;2;1
01051028;Epenwöhrden;1;0;1;0;0
01051030;Fedderingen;0;0;0;0;0
01051032;Frestedt;0;0;0;0;0
01051033;Friedrichsgabekoog;0;0;0;0;0
01051034;Friedrichskoog;1;0;0;-2;3
01051035;Gaushorn;0;0;0;0;0
01051036;Glüsing;0;0;0;0;0
01051037;Großenrade;1;0;0;-1;2
01051038;Groven;0;0;0;0;0
01051039;Gudendorf;0;0;0;0;0
01051040;Hägen;-;-;-;-;-
01051043;Hedwigenkoog;0;0;0;0;0
01051044;Heide;157;91;27;20;19
01051045;Hellschen-Heringsand-Unterschaar;0;0;0;0;0
01051046;Helse;3;0;1;-1;3
01051047;Hemme;0;0;0;0;0
01051048;Hemmingstedt;7;0;1;1;5
01051049;Hennstedt;5;0;0;4;1
01051050;Hillgroven;0;0;0;-1;1
01051051;Hochdonn;0;0;0;-1;1
01051052;Hövede;0;0;0;0;0
01051053;Hollingstedt;0;0;0;0;0
01051054;Immenstedt;0;0;0;0;0
01051057;Kaiser-Wilhelm-Koog;1;0;-2;0;3
01051058;Karolinenkoog;0;0;0;0;0
01051060;Kleve, Dithmarschen;1;0;0;0;1
01051061;Krempel;2;0;0;1;1
01051062;Kronprinzenkoog;3;0;0;1;2
01051063;Krumstedt;0;0;0;0;0
01051064;Kuden;0;0;0;0;0
01051065;Lehe;2;0;1;0;1
01051067;Lieth;1;0;0;1;0
01051068;Linden;4;0;-1;1;4
01051069;Lohe-Rickelshof;12;7;4;-2;3
01051071;Lunden;0;0;0;0;0
01051072;Marne;10;1;2;4;3
01051073;Marnerdeich;0;0;0;0;0
01051074;Meldorf;10;0;3;0;7
01051075;Neuenkirchen;1;0;0;0;1
01051076;Neufeld;3;0;0;1;2
01051077;Neufelderkoog;0;0;0;0;0
01051078;Nindorf;3;0;0;1;2
01051079;Norddeich;1;0;0;0;1
01051080;Norderheistedt;1;0;-1;1;1
01051081;Norderwöhrden;1;1;0;0;0
01051082;Nordhastedt;18;-1;6;9;4
01051083;Odderade;1;0;1;0;0
01051084;Oesterdeichstrich;0;0;0;0;0
01051085;Offenbüttel;1;0;1;0;0
01051086;Osterrade;0;0;0;0;0
01051087;Ostrohe;2;0;0;0;2
01051088;Pahlen;4;0;0;3;1
01051089;Quickborn;1;0;0;-1;2
