GENESIS-Tabelle: 31121-03-02-5-B
Baufertigstellungen: Wohnungen in Wohn- und;;;;;;
Nichtwohngebäuden (einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baufertigstellungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01001000;Flensburg, krsfr. Stadt;365;102;101;77;85
01002000;Kiel, krsfr. Stadt;488;107;69;93;219
01003000;Lübeck, krsfr. Stadt;102;15;12;11;64
01004000;Neumünster, krsfr. Stadt;116;-3;40;39;40
01051001;Albersdorf;29;13;3;6;7
01051002;Arkebek;1;0;0;0;1
01051003;Averlak;-;-;-;-;-
01051004;Bargenstedt;4;0;0;3;1
01051005;Barkenholm;-;-;-;-;-
01051006;Barlt;0;-1;1;0;0
01051008;Bergewöhrden;-;-;-;-;-
01051010;Brickeln;-;-;-;-;-
01051011;Brunsbüttel;5;0;0;3;2
01051012;Buchholz;1;0;1;-1;1
01051013;Büsum;37;16;9;4;8
01051014;Büsumer Deichhausen;1;0;0;-1;2
01051015;Bunsoh;1;0;-1;-1;3
01051016;Burg (Dithmarschen);3;0;0;0;3
01051017;Busenwurth;-;-;-;-;-
01051019;Dellstedt;3;0;0;0;3
01051020;Delve;-;-;-;-;-
01051021;Diekhusen-Fahrstedt;2;0;0;1;1
01051022;Dingen;2;0;0;0;2
01051023;Dörpling;1;0;0;0;1
01051024;Eddelak;1;-1;0;1;1
01051026;Eggstedt;2;1;0;0;1
01051027;Elpersbüttel;2;0;0;1;1
01051028;Epenwöhrden;1;0;1;0;0
01051030;Fedderingen;1;0;1;0;0
01051032;Frestedt;1;0;0;0;1
01051033;Friedrichsgabekoog;0;0;0;0;0
01051034;Friedrichskoog;1;0;0;-1;2
01051035;Gaushorn;-;-;-;-;-
01051036;Glüsing;-;-;-;-;-
01051037;Großenrade;0;0;0;0;0
01051038;Groven;1;0;-1;0;2
01051039;Gudendorf;0;0;0;0;0
01051040;Hägen;-;-;-;-;-
01051043;Hedwigenkoog;0;0;0;0;0
01051044;Heide;52;8;12;11;21
01051045;Hellschen-Heringsand-Unterschaar;0;0;0;0;0
01051046;Helse;2;0;0;1;1
01051047;Hemme;0;0;-1;1;0
01051048;Hemmingstedt;8;0;-1;0;9
01051049;Hennstedt;10;2;0;3;5
01051050;Hillgroven;0;0;0;-1;1
01051051;Hochdonn;0;0;0;0;0
01051052;Hövede;-;-;-;-;-
01051053;Hollingstedt;-;-;-;-;-
01051054;Immenstedt;-;-;-;-;-
01051057;Kaiser-Wilhelm-Koog;1;0;-1;1;1
01051058;Karolinenkoog;-;-;-;-;-
01051060;Kleve, Dithmarschen;1;0;0;0;1
01051061;Krempel;0;0;0;0;0
01051062;Kronprinzenkoog;4;0;-1;0;5
01051063;Krumstedt;3;1;1;0;1
01051064;Kuden;0;0;0;0;0
01051065;Lehe;1;0;1;0;0
01051067;Lieth;0;0;0;0;0
01051068;Linden;2;0;-1;2;1
01051069;Lohe-Rickelshof;22;7;0;9;6
01051071;Lunden;0;0;0;0;0
01051072;Marne;15;5;4;-1;7
01051073;Marnerdeich;2;0;0;0;2
01051074;Meldorf;10;4;4;-1;3
01051075;Neuenkirchen;0;0;0;1;-1
01051076;Neufeld;2;0;0;1;1
01051077;Neufelderkoog;-;-;-;-;-
01051078;Nindorf;3;0;-1;1;3
01051079;Norddeich;0;0;0;0;0
01051080;Norderheistedt;1;0;0;1;0
01051081;Norderwöhrden;1;1;0;0;0
01051082;Nordhastedt;9;0;1;1;7
01051083;Odderade;1;0;1;0;0
01051084;Oesterdeichstrich;-;-;-;-;-
01051085;Offenbüttel;2;0;0;1;1
01051086;Osterrade;1;-1;1;0;1
01051087;Ostrohe;11;2;4;3;2
01051088;Pahlen;4;-2;-1;4;3
01051089;Quickborn;0;0;-1;0;1
01051090;Ramhusen;2;0;0;0;2
01051092;Rehm-Flehde-Bargen;-;-;-;-;-
01051093;Reinsbüttel;0;0;0;0;0
01051096;Sankt Annen;2;0;0;0;2
01051097;Sankt Michaelisdonn;3;0;0;3;0
01051098;Sarzbüttel;1;0;0;0;1
01051099;Schafstedt;4;0;-1;1;4
01051100;Schalkholz;0;0;-1;0;1
01051102;Schlichting;1;0;0;1;0
01051103;Schmedeswurth;1;0;0;0;1
01051104;Schrum;-;-;-;-;-
01051105;Schülp;-1;0;0;0;-1
01051107;Stelle-Wittenwurth;1;0;0;0;1
01051108;Strübbel;-;-;-;-;-
01051109;Süderdeich;2;1;1;1;-1
01051110;Süderhastedt;1;0;0;0;1
01051111;Süderheistedt;-;-;-;-;-
01051113;Wöhrden;5;0;2;1;2
01051114;Tellingstedt;4;0;1;1;2
01051117;Tielenhemme;-;-;-;-;-
01051118;Trennewurth;3;0;0;1;2
01051119;Volsemenhusen;0;0;0;0;0
01051120;Wallen;-;-;-;-;-
01051121;Warwerort;0;0;0;0;0
01051122;Weddingstedt;9;0;0;2;7
01051125;Welmbüttel;-;-;-;-;-
01051126;Wennbüttel;-;-;-;-;-
01051127;Wesselburen;-1;0;-1;0;0
01051128;Wesselburener Deichhausen;0;0;0;0;0
01051129;Wesselburenerkoog;1;0;0;1;0
01051130;Wesseln;3;0;0;-1;4
01051131;Westerborstel;1;0;1;0;0
01051132;Westerdeichstrich;4;0;1;0;3
01051133;Wiemerstedt;0;0;0;0;0
01051134;Windbergen;0;0;0;0;0
01051135;Wolmersdorf;0;0;0;0;0
01051136;Wrohm;3;0;1;0;2
01051137;Nordermeldorf;0;0;0;-1;1
01051138;Tensbüttel-Röst;2;0;0;0;2
01051139;Süderdorf;-;-;-;-;-
01051140;Oesterwurth;-;-;-;-;-
01051141;Süderheistedt;0;0;0;0;0
01053001;Albsfelde;-;-;-;-;-
01053002;Alt Mölln;6;0;0;3;3
01053003;Aumühle;-;-;-;-;-
01053004;Bäk;4;0;0;1;3
01053005;Bälau;4;3;0;0;1
01053006;Basedow;4;0;1;1;2
01053007;Basthorst;-;-;-;-;-
01053008;Behlendorf;1;0;-1;2;0
01053009;Berkenthin;17;2;2;1;12
01053010;Besenthal;-;-;-;-;-
01053011;Bliestorf;1;0;0;0;1
01053012;Börnsen;8;0;0;0;8
01053013;Borstorf;2;0;0;1;1
01053014;Breitenfelde;21;4;5;1;11
01053015;Bröthen;4;1;0;1;2
01053016;Brunsmark;-;-;-;-;-
01053017;Brunstorf;3;0;0;0;3
01053018;Buchholz;1;0;0;1;0
01053019;Buchhorst;-;-;-;-;-
01053020;Büchen;16;2;3;3;8
01053021;Dahmker;-;-;-;-;-
01053022;Dalldorf;4;0;0;0;4
01053023;Dassendorf;60;0;18;5;37
01053024;Düchelsdorf;-;-;-;-;-
01053025;Duvensee;6;0;2;-1;5
01053026;Einhaus;-;-;-;-;-
01053027;Elmenhorst;1;0;0;1;0
01053028;Escheburg;26;0;0;1;25
01053029;Fitzen;1;0;0;0;1
01053030;Fredeburg;-;-;-;-;-
01053031;Fuhlenhagen;7;0;0;-1;8
01053032;Geesthacht;77;2;26;22;27
01053033;Giesensdorf;1;0;0;0;1
01053034;Göldenitz;0;0;0;0;0
01053035;Göttin;-;-;-;-;-
01053036;Grabau;4;0;0;0;4
01053037;Grambek;12;1;0;3;8
01053038;Grinau;2;0;-1;0;3
01053039;Groß Boden;3;0;0;2;1
01053040;Groß Disnack;-;-;-;-;-
01053041;Groß Grönau;4;0;-1;0;5
01053042;Groß Pampau;1;0;0;0;1
01053043;Groß Sarau;0;0;0;0;0
01053044;Groß Schenkenberg;-;-;-;-;-
01053045;Grove;1;0;0;1;0
01053046;Gudow;3;0;0;1;2
01053047;Gülzow;1;0;0;0;1
01053048;Güster;8;0;3;2;3
01053049;Hamfelde;1;0;0;0;1
01053050;Hamwarde;23;1;2;4;16
01053051;Harmsdorf;1;0;0;0;1
01053052;Havekost;1;0;0;1;0
01053053;Hohenhorn;2;0;0;0;2
01053054;Hollenbek;0;-1;0;1;0
01053056;Hornbek;1;0;0;0;1
