GENESIS-Tabelle: 31211-03-01-5-B
Gebäude mit Wohnraum nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;16787;2350;1965;7014;1492;411;649;1185;754;670;297
01002000;Kiel, krsfr. Stadt;36992;3958;8619;15029;3358;1320;1213;1186;1018;838;453
01003000;Lübeck, krsfr. Stadt;43694;8119;7367;18320;2374;1172;1435;1858;1182;1311;556
01004000;Neumünster, krsfr. Stadt;19191;1475;2858;9757;1629;452;910;1086;571;331;122
01051001;Albersdorf;1257;232;99;520;109;17;63;136;54;24;3
01051002;Arkebek;80;22;13;28;6;-;3;8;-;-;-
01051003;Averlak;259;85;55;65;21;3;-;12;7;7;4
01051004;Bargenstedt;338;66;39;124;38;9;13;18;12;19;-
01051005;Barkenholm;80;26;13;29;6;3;3;-;-;-;-
01051006;Barlt;331;91;56;106;22;3;16;18;9;7;3
01051008;Bergewöhrden;9;3;-;6;-;-;-;-;-;-;-
