GENESIS-Tabelle: 31211-05-01-5-B
Wohngebäude nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;16276;10651;936;2702;1678;309
01002000;Kiel, krsfr. Stadt;36209;21856;2230;5046;5849;1228
01003000;Lübeck, krsfr. Stadt;42519;27942;3998;6316;3528;735
01004000;Neumünster, krsfr. Stadt;18711;13868;1377;2143;1178;145
01051001;Albersdorf;1208;999;132;74;-;3
01051002;Arkebek;80;57;14;9;-;-
01051003;Averlak;259;239;16;4;-;-
01051004;Bargenstedt;329;280;37;12;-;-
01051005;Barkenholm;77;67;7;3;-;-
01051006;Barlt;319;291;19;9;-;-
01051008;Bergewöhrden;9;6;3;-;-;-
01051010;Brickeln;73;63;6;4;-;-
01051011;Brunsbüttel;4043;3320;264;359;94;6
01051012;Buchholz;366;316;44;6;-;-
01051013;Büsum;2010;1381;239;259;104;27
01051014;Büsumer Deichhausen;215;150;30;32;3;-
01051015;Bunsoh;274;246;13;9;6;-
01051016;Burg (Dithmarschen);1507;1233;160;114;0;-
01051017;Busenwurth;118;99;13;6;-;-
01051019;Dellstedt;249;210;22;17;-;-
01051020;Delve;291;246;39;6;-;-
01051021;Diekhusen-Fahrstedt;283;265;12;6;-;-
01051022;Dingen;258;238;20;-;-;-
01051023;Dörpling;247;211;32;4;-;-
01051024;Eddelak;536;476;44;16;-;-
01051026;Eggstedt;297;261;24;12;-;-
01051027;Elpersbüttel;317;292;19;6;-;-
01051028;Epenwöhrden;254;227;12;11;4;-
01051030;Fedderingen;86;79;7;-;-;-
01051032;Frestedt;150;141;6;3;-;-
01051033;Friedrichsgabekoog;21;18;-;3;-;-
01051034;Friedrichskoog;1695;1463;175;45;12;-
01051035;Gaushorn;60;57;3;-;-;-
01051036;Glüsing;34;22;12;-;-;-
01051037;Großenrade;191;170;15;6;-;-
01051038;Groven;39;33;6;-;-;-
01051039;Gudendorf;153;141;12;-;-;-
01051040;Hägen;-;-;-;-;-;-
01051043;Hedwigenkoog;87;74;4;9;-;-
01051044;Heide;6243;4807;615;655;128;38
01051045;Hellschen-Heringsand-Unterschaar;72;63;6;3;-;-
01051046;Helse;360;338;22;-;-;-
01051047;Hemme;213;184;26;3;-;-
01051048;Hemmingstedt;1112;966;113;30;3;-
01051049;Hennstedt;813;724;55;34;-;-
01051050;Hillgroven;40;27;13;-;-;-
01051051;Hochdonn;456;416;37;3;-;-
01051052;Hövede;15;12;3;-;-;-
01051053;Hollingstedt;119;98;17;4;-;-
01051054;Immenstedt;38;32;3;3;-;-
01051057;Kaiser-Wilhelm-Koog;155;128;12;15;-;-
01051058;Karolinenkoog;58;55;-;3;-;-
01051060;Kleve, Dithmarschen;171;155;13;3;-;-
01051061;Krempel;239;207;23;9;-;-
01051062;Kronprinzenkoog;356;313;33;10;-;-
01051063;Krumstedt;201;165;33;3;-;-
01051064;Kuden;247;235;9;3;-;-
01051065;Lehe;468;421;35;12;-;-
01051067;Lieth;129;116;6;7;-;-
01051068;Linden;303;259;37;7;-;-
01051069;Lohe-Rickelshof;752;632;73;44;3;-
01051071;Lunden;574;464;55;42;9;4
01051072;Marne;2020;1733;180;85;12;10
01051073;Marnerdeich;139;136;3;-;-;-
01051074;Meldorf;2687;2303;218;145;18;3
01051075;Neuenkirchen;380;333;30;13;-;4
01051076;Neufeld;279;261;9;9;-;-
01051077;Neufelderkoog;44;38;6;-;-;-
01051078;Nindorf;431;398;27;6;-;-
01051079;Norddeich;190;165;19;6;-;-
01051080;Norderheistedt;49;45;-;4;-;-
01051081;Norderwöhrden;106;100;6;-;-;-
01051082;Nordhastedt;1005;875;92;35;3;-
01051083;Odderade;132;111;18;3;-;-
01051084;Oesterdeichstrich;91;78;13;-;-;-
01051085;Offenbüttel;92;73;13;6;-;-
01051086;Osterrade;163;140;16;7;-;-
01051087;Ostrohe;372;325;43;4;-;-
01051088;Pahlen;406;332;61;13;-;-
01051089;Quickborn;79;73;6;-;-;-
01051090;Ramhusen;58;54;4;-;-;-
01051092;Rehm-Flehde-Bargen;202;182;13;7;-;-
01051093;Reinsbüttel;171;156;9;6;-;-
01051096;Sankt Annen;123;116;7;-;-;-
01051097;Sankt Michaelisdonn;1296;1159;91;39;4;3
01051098;Sarzbüttel;293;266;27;-;-;-
01051099;Schafstedt;482;415;58;9;-;-
01051100;Schalkholz;226;202;18;6;-;-
01051102;Schlichting;90;81;9;-;-;-
01051103;Schmedeswurth;68;65;-;3;-;-
01051104;Schrum;19;13;3;3;-;-
01051105;Schülp;196;183;9;4;-;-
01051107;Stelle-Wittenwurth;162;136;23;3;-;-
01051108;Strübbel;58;58;-;-;-;-
01051109;Süderdeich;185;146;27;12;-;-
01051110;Süderhastedt;296;281;12;3;-;-
01051111;Süderheistedt;-;-;-;-;-;-
01051113;Wöhrden;519;451;53;15;-;-
01051114;Tellingstedt;941;777;121;40;3;-
01051117;Tielenhemme;99;93;6;-;-;-
01051118;Trennewurth;126;114;12;-;-;-
01051119;Volsemenhusen;139;132;7;-;-;-
01051120;Wallen;20;20;-;-;-;-
01051121;Warwerort;180;158;9;13;-;-
01051122;Weddingstedt;850;755;59;30;6;-
01051125;Welmbüttel;154;131;20;3;-;-
01051126;Wennbüttel;36;24;12;-;-;-
01051127;Wesselburen;1171;982;122;64;3;-
01051128;Wesselburener Deichhausen;68;65;3;-;-;-
01051129;Wesselburenerkoog;119;113;6;-;-;-
01051130;Wesseln;534;504;23;7;-;-
01051131;Westerborstel;46;37;9;-;-;-
01051132;Westerdeichstrich;421;266;58;87;10;-
01051133;Wiemerstedt;58;46;12;-;-;-
01051134;Windbergen;291;257;28;6;-;-
01051135;Wolmersdorf;128;110;15;3;-;-
01051136;Wrohm;295;269;23;3;-;-
01051137;Nordermeldorf;235;187;28;20;-;-
01051138;Tensbüttel-Röst;226;170;49;7;-;-
01051139;Süderdorf;119;91;25;3;-;-
01051140;Oesterwurth;99;93;6;-;-;-
01051141;Süderheistedt;198;158;34;6;-;-
01053001;Albsfelde;32;32;-;-;-;-
01053002;Alt Mölln;265;215;38;9;3;-
01053003;Aumühle;949;713;132;94;10;-
01053004;Bäk;319;254;55;10;-;-
01053005;Bälau;69;60;6;3;-;-
01053006;Basedow;255;215;17;16;7;-
01053007;Basthorst;158;127;25;6;-;-
01053008;Behlendorf;127;105;12;10;-;-
01053009;Berkenthin;605;491;87;27;-;-
01053010;Besenthal;23;23;-;-;-;-
01053011;Bliestorf;217;161;44;12;-;-
01053012;Börnsen;1295;1063;162;58;12;-
01053013;Borstorf;98;85;13;-;-;-
01053014;Breitenfelde;569;454;68;41;6;-
01053015;Bröthen;98;83;12;3;-;-
01053016;Brunsmark;84;78;6;-;-;-
01053017;Brunstorf;198;172;16;6;4;-
01053018;Buchholz;82;60;15;7;-;-
01053019;Buchhorst;57;50;4;3;-;-
01053020;Büchen;1658;1338;167;125;28;-
