GENESIS-Tabelle: 31211-06-01-5-B
Wohngebäude nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;16276;2143;1889;6869;1460;395;626;1179;748;670;297
01002000;Kiel, krsfr. Stadt;36209;3791;8486;14685;3307;1294;1198;1155;1011;832;450
01003000;Lübeck, krsfr. Stadt;42519;7688;7223;17882;2322;1139;1425;1834;1166;1293;547
01004000;Neumünster, krsfr. Stadt;18711;1342;2792;9579;1591;445;886;1065;562;327;122
01051001;Albersdorf;1208;213;93;496;109;17;63;136;54;24;3
01051002;Arkebek;80;22;13;28;6;-;3;8;-;-;-
01051003;Averlak;259;85;55;65;21;3;-;12;7;7;4
01051004;Bargenstedt;329;66;36;118;38;9;13;18;12;19;-
01051005;Barkenholm;77;23;13;29;6;3;3;-;-;-;-
01051006;Barlt;319;85;53;103;22;3;16;18;9;7;3
01051008;Bergewöhrden;9;3;-;6;-;-;-;-;-;-;-
01051010;Brickeln;73;10;29;12;-;-;3;15;4;-;-
01051011;Brunsbüttel;4043;553;362;1730;578;96;195;287;151;73;18
