GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;48026;2525;5694;14014;12591;6824;3215;3163
01002000;Kiel, krsfr. Stadt;132132;7076;17824;40949;34156;18255;7874;5978
01003000;Lübeck, krsfr. Stadt;115013;5384;14848;30648;31929;17957;8276;5964
01004000;Neumünster, krsfr. Stadt;41111;961;4119;11034;11055;7101;3870;2971
01051001;Albersdorf;1647;9;83;224;291;432;297;311
01051002;Arkebek;107;-;-;10;28;18;16;35
01051003;Averlak;297;-;11;24;70;79;51;62
01051004;Bargenstedt;389;-;15;24;77;77;74;122
01051005;Barkenholm;96;3;-;11;28;10;28;16
01051006;Barlt;379;-;12;21;63;115;54;114
01051008;Bergewöhrden;12;-;-;-;3;3;6;-
01051010;Brickeln;99;-;7;3;22;33;12;22
01051011;Brunsbüttel;6594;58;353;879;1392;1676;1141;1095
01051012;Buchholz;454;-;12;45;75;104;72;146
01051013;Büsum;4096;191;647;927;817;766;357;391
01051014;Büsumer Deichhausen;294;7;55;55;52;60;19;46
01051015;Bunsoh;380;-;38;47;66;91;72;66
01051016;Burg (Dithmarschen);2176;16;162;339;476;435;357;391
01051017;Busenwurth;139;-;6;4;34;28;36;31
01051019;Dellstedt;326;-;10;29;80;51;74;82
01051020;Delve;361;6;7;41;67;100;47;93
01051021;Diekhusen-Fahrstedt;317;-;6;30;62;71;90;58
01051022;Dingen;277;-;-;12;45;67;85;68
01051023;Dörpling;282;4;6;23;40;78;62;69
01051024;Eddelak;648;3;15;49;112;203;117;149
01051026;Eggstedt;351;-;10;28;58;82;79;94
01051027;Elpersbüttel;385;3;16;52;65;94;82;73
