GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;46731;12770;32581;82;1298
01002000;Kiel, krsfr. Stadt;129578;33862;92195;242;3259
01003000;Lübeck, krsfr. Stadt;111738;33183;74452;882;3214
01004000;Neumünster, krsfr. Stadt;40045;15224;22664;55;2102
01051001;Albersdorf;1571;866;651;12;42
01051002;Arkebek;107;63;41;-;3
01051003;Averlak;294;215;62;-;17
01051004;Bargenstedt;368;281;72;3;12
01051005;Barkenholm;93;64;26;-;3
01051006;Barlt;367;273;58;23;13
01051008;Bergewöhrden;12;6;6;-;-
01051010;Brickeln;88;66;22;-;-
01051011;Brunsbüttel;6410;3253;2824;27;306
01051012;Buchholz;438;301;124;4;9
01051013;Büsum;3848;1442;1498;822;86
01051014;Büsumer Deichhausen;276;123;62;85;6
01051015;Bunsoh;368;253;106;-;9
01051016;Burg (Dithmarschen);2069;1164;802;20;83
01051017;Busenwurth;136;90;33;10;3
01051019;Dellstedt;320;216;74;12;18
01051020;Delve;346;212;112;7;15
01051021;Diekhusen-Fahrstedt;317;245;57;3;12
01051022;Dingen;265;228;24;7;6
01051023;Dörpling;282;207;62;7;6
01051024;Eddelak;618;427;160;6;25
01051026;Eggstedt;334;239;77;3;15
01051027;Elpersbüttel;365;256;88;15;6
