GENESIS-Tabelle: 31231-01-02-5-B
Wohngebäude- und Wohnungsbestand - Stichtag 31.12. -;;;;;;;;;;;;;;
regionale Ebenen (bis 2010);;;;;;;;;;;;;;
Fortschreib. d. Wohngebäude- u. Wohnungsbestandes;;;;;;;;;;;;;;
31.12.2010;;;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohnfläche in Wohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Räume in Wohnungen mit 7 oder mehr Räumen
;;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;
;;Insgesamt;1 Wohnung;2 Wohnungen;;Insgesamt;Wohnungen mit 1 Raum;Wohnungen mit 2 Räumen;Wohnungen mit 3 Räumen;Wohnungen mit 4 Räumen;Wohnungen mit 5 Räumen;Wohnungen mit 6 Räumen;Wohnungen mit 7 Räumen oder mehr;
;;Anzahl;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;15381;9316;1336;3581,6;48280;725;2845;13063;16463;9112;3664;2408;18511
01002000;Kiel, krsfr. Stadt;35585;20287;3198;9034,2;131444;3548;9021;42342;43639;20511;7803;4580;34933
01003000;Lübeck, krsfr. Stadt;41675;25447;5558;8136,8;114814;2628;8829;30830;38779;20788;7884;5076;38806
01004000;Neumünster, krsfr. Stadt;18329;12876;1984;3187,2;41386;542;2096;10052;13775;8585;3824;2512;19086
01051001;Albersdorf;1129;865;180;156,8;1603;11;64;227;388;419;263;231;1803
01051002;Arkebek;69;53;13;11,2;89;0;2;12;16;19;14;26;215
01051003;Averlak;240;208;25;28,4;293;6;8;46;79;76;46;32;249
01051004;Bargenstedt;312;284;24;37,5;383;0;9;45;88;99;80;62;476
01051005;Barkenholm;66;58;8;8,6;87;0;1;12;15;16;18;25;195
01051006;Barlt;318;277;33;39,0;396;2;9;64;99;116;48;58;441
01051008;Bergewöhrden;14;13;1;1,4;16;0;1;2;6;3;2;2;16
01051010;Brickeln;87;76;10;9,5;100;3;0;15;31;23;20;8;56
01051011;Brunsbüttel;3845;3125;287;603,5;6440;48;227;1121;1862;1676;888;618;4699
01051012;Buchholz;379;342;31;45,5;441;2;5;50;118;115;77;74;568
01051013;Büsum;1996;1530;207;333,2;4531;251;948;1287;718;629;318;380;3065
01051014;Büsumer Deichhausen;204;155;31;28,3;338;4;65;85;57;71;23;33;262
01051015;Bunsoh;271;232;31;36,0;344;0;10;58;82;81;53;60;469
01051016;Burg (Dithmarschen);1491;1164;222;197,1;2163;5;93;456;569;506;282;252;1937
01051017;Busenwurth;126;116;7;15,0;151;1;14;14;41;44;19;18;144
01051019;Dellstedt;234;190;37;32,8;313;2;6;40;59;91;50;65;514
01051020;Delve;285;250;28;35,7;334;1;11;39;82;85;65;51;394
01051021;Diekhusen-Fahrstedt;265;239;18;31,3;313;2;8;38;95;86;58;26;205
01051022;Dingen;250;237;13;27,8;277;1;2;32;76;85;46;35;263
01051023;Dörpling;234;200;32;29,3;272;0;8;34;61;70;42;57;435
01051024;Eddelak;531;457;55;65,9;669;1;9;99;184;192;93;91;680
01051026;Eggstedt;291;271;19;36,2;331;0;4;39;72;84;60;72;556
01051027;Elpersbüttel;327;294;27;41,5;398;3;6;50;94;115;75;55;424
01051028;Epenwöhrden;267;241;22;32,5;314;3;7;34;66;114;48;42;337
01051030;Fedderingen;100;94;6;14,2;109;0;2;7;18;27;21;34;262
01051032;Frestedt;150;136;10;17,1;174;0;3;29;51;38;28;25;183
01051033;Friedrichsgabekoog;29;25;3;4,7;34;0;1;3;5;4;13;8;74
01051034;Friedrichskoog;1387;1211;106;149,5;1897;58;258;455;492;346;158;130;1027
01051035;Gaushorn;62;55;7;7,4;80;0;1;14;12;20;21;12;94
01051036;Glüsing;39;37;1;5,5;46;0;0;3;13;7;9;14;115
01051037;Großenrade;180;166;12;20,9;209;0;5;29;40;68;38;29;231
01051038;Groven;43;40;3;5,8;46;1;1;2;12;14;3;13;114
01051039;Gudendorf;154;135;17;19,0;189;0;8;29;47;47;32;26;198
01051040;Hägen;-;-;-;-;-;-;-;-;-;-;-;-;-
01051043;Hedwigenkoog;94;82;10;13,1;120;0;4;18;18;32;20;28;239
