GENESIS-Tabelle: 33111-01-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
01001000;Flensburg, krsfr. Stadt;5674;2981;1886;1145;304;61;211;138;39;783;574;1460;4;118;360;827;10;37;37
01002000;Kiel, krsfr. Stadt;11865;6429;3863;2131;550;51;701;499;75;1740;1435;3528;34;2;685;1132;2;89;78
01003000;Lübeck, krsfr. Stadt;21421;7898;4507;2558;986;110;1182;903;85;2013;1515;6953;2;18;3090;3086;61;333;332
01004000;Neumünster, krsfr. Stadt;7163;3604;2333;1406;316;97;377;283;49;748;624;3017;188;2;319;200;1;24;22
01051001;Albersdorf;1712;334;207;118;9;4;23;15;3;98;88;1076;-;0;252;18;1;31;30
01051002;Arkebek;692;62;23;15;-;3;0;0;-;37;33;446;-;-;171;3;1;8;7
01051003;Averlak;907;64;43;30;1;0;2;1;-;19;18;676;-;-;38;110;-;18;18
01051004;Bargenstedt;1190;130;80;37;13;0;4;2;-;46;46;976;9;0;60;11;1;13;13
01051005;Barkenholm;511;34;19;9;0;1;0;0;-;13;13;417;-;-;4;11;-;45;45
01051006;Barlt;2288;143;80;38;1;4;2;1;2;56;54;1744;-;-;91;57;-;253;253
01051008;Bergewöhrden;264;12;7;2;-;0;-;-;-;5;5;215;-;-;3;29;-;5;5
01051010;Brickeln;607;65;19;9;1;-;3;0;-;42;22;463;-;-;62;14;-;3;3
01051011;Brunsbüttel;6523;1422;854;339;417;112;80;60;9;366;278;2979;-;-;45;1919;-;159;157
01051012;Buchholz;1456;155;67;34;1;2;1;0;-;85;51;1128;-;-;88;59;17;9;9
01051013;Büsum;848;333;203;140;19;8;35;25;5;82;75;435;-;-;3;56;-;21;21
01051014;Büsumer Deichhausen;287;37;21;17;-;0;3;0;-;14;13;242;-;-;2;6;-;0;0
01051015;Bunsoh;1175;151;52;32;0;50;4;0;-;44;44;782;-;-;196;31;2;13;12
