GENESIS-Tabelle: 42111-01-04-5-B
Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen;;;;;
und Erden: Betriebe, Beschäftigte - Stichtag: 30.09. -;;;;;
regionale Ebenen;;;;;
Verarbeitendes Gewerbe - Jahre ab 2009 mit WZ2008;;;;;
;;;Betriebe;Beschäftigte;Bruttoentgelte
;;;Anzahl;Anzahl;Tsd. EUR
30.09.2015;01001000;Flensburg, krsfr. Stadt;34;4735;199108
30.09.2015;01002000;Kiel, krsfr. Stadt;75;10615;581252
30.09.2015;01003000;Lübeck, krsfr. Stadt;75;13454;528830
30.09.2015;01004000;Neumünster, krsfr. Stadt;43;4273;201319
30.09.2015;01051001;Albersdorf;0;0;0
30.09.2015;01051002;Arkebek;0;0;0
30.09.2015;01051003;Averlak;0;0;0
30.09.2015;01051004;Bargenstedt;0;0;0
30.09.2015;01051005;Barkenholm;0;0;0
30.09.2015;01051006;Barlt;0;0;0
30.09.2015;01051008;Bergewöhrden;0;0;0
30.09.2015;01051010;Brickeln;0;0;0
30.09.2015;01051011;Brunsbüttel;15;2051;115721
30.09.2015;01051012;Buchholz;0;0;0
30.09.2015;01051013;Büsum;1;.;.
30.09.2015;01051014;Büsumer Deichhausen;0;0;0
30.09.2015;01051015;Bunsoh;0;0;0
30.09.2015;01051016;Burg (Dithmarschen);1;.;.
30.09.2015;01051017;Busenwurth;0;0;0
30.09.2015;01051019;Dellstedt;0;0;0
30.09.2015;01051020;Delve;0;0;0
30.09.2015;01051021;Diekhusen-Fahrstedt;0;0;0
30.09.2015;01051022;Dingen;0;0;0
30.09.2015;01051023;Dörpling;0;0;0
30.09.2015;01051024;Eddelak;1;.;.
30.09.2015;01051026;Eggstedt;0;0;0
30.09.2015;01051027;Elpersbüttel;0;0;0
30.09.2015;01051028;Epenwöhrden;0;0;0
30.09.2015;01051030;Fedderingen;1;.;.
30.09.2015;01051032;Frestedt;0;0;0
30.09.2015;01051033;Friedrichsgabekoog;0;0;0
30.09.2015;01051034;Friedrichskoog;1;.;.
30.09.2015;01051035;Gaushorn;0;0;0
30.09.2015;01051036;Glüsing;1;.;.
30.09.2015;01051037;Großenrade;0;0;0
30.09.2015;01051038;Groven;0;0;0
30.09.2015;01051039;Gudendorf;1;.;.
30.09.2015;01051040;Hägen;-;-;-
30.09.2015;01051043;Hedwigenkoog;0;0;0
30.09.2015;01051044;Heide;7;648;23878
30.09.2015;01051045;Hellschen-Heringsand-Unterschaar;0;0;0
30.09.2015;01051046;Helse;0;0;0
30.09.2015;01051047;Hemme;0;0;0
30.09.2015;01051048;Hemmingstedt;2;.;.
30.09.2015;01051049;Hennstedt;0;0;0
30.09.2015;01051050;Hillgroven;0;0;0
30.09.2015;01051051;Hochdonn;0;0;0
30.09.2015;01051052;Hövede;0;0;0
30.09.2015;01051053;Hollingstedt;0;0;0
30.09.2015;01051054;Immenstedt;0;0;0
30.09.2015;01051057;Kaiser-Wilhelm-Koog;0;0;0
30.09.2015;01051058;Karolinenkoog;0;0;0
30.09.2015;01051060;Kleve, Dithmarschen;0;0;0
30.09.2015;01051061;Krempel;0;0;0
30.09.2015;01051062;Kronprinzenkoog;0;0;0
30.09.2015;01051063;Krumstedt;0;0;0
30.09.2015;01051064;Kuden;0;0;0
30.09.2015;01051065;Lehe;0;0;0
30.09.2015;01051067;Lieth;0;0;0
30.09.2015;01051068;Linden;0;0;0
30.09.2015;01051069;Lohe-Rickelshof;1;.;.
30.09.2015;01051071;Lunden;1;.;.
30.09.2015;01051072;Marne;7;707;17118
30.09.2015;01051073;Marnerdeich;0;0;0
30.09.2015;01051074;Meldorf;6;578;19869
30.09.2015;01051075;Neuenkirchen;0;0;0
30.09.2015;01051076;Neufeld;0;0;0
30.09.2015;01051077;Neufelderkoog;0;0;0
30.09.2015;01051078;Nindorf;0;0;0
30.09.2015;01051079;Norddeich;0;0;0
30.09.2015;01051080;Norderheistedt;0;0;0
30.09.2015;01051081;Norderwöhrden;0;0;0
30.09.2015;01051082;Nordhastedt;1;.;.
30.09.2015;01051083;Odderade;0;0;0
30.09.2015;01051084;Oesterdeichstrich;0;0;0
30.09.2015;01051085;Offenbüttel;0;0;0
30.09.2015;01051086;Osterrade;0;0;0
30.09.2015;01051087;Ostrohe;0;0;0
30.09.2015;01051088;Pahlen;1;.;.
30.09.2015;01051089;Quickborn;0;0;0
30.09.2015;01051090;Ramhusen;0;0;0
30.09.2015;01051092;Rehm-Flehde-Bargen;0;0;0
30.09.2015;01051093;Reinsbüttel;0;0;0
30.09.2015;01051096;Sankt Annen;0;0;0
30.09.2015;01051097;Sankt Michaelisdonn;0;0;0
30.09.2015;01051098;Sarzbüttel;1;.;.
30.09.2015;01051099;Schafstedt;0;0;0
30.09.2015;01051100;Schalkholz;2;.;.
30.09.2015;01051102;Schlichting;0;0;0
30.09.2015;01051103;Schmedeswurth;0;0;0
30.09.2015;01051104;Schrum;0;0;0
30.09.2015;01051105;Schülp;0;0;0
30.09.2015;01051107;Stelle-Wittenwurth;0;0;0
30.09.2015;01051108;Strübbel;0;0;0
30.09.2015;01051109;Süderdeich;0;0;0
30.09.2015;01051110;Süderhastedt;0;0;0
30.09.2015;01051111;Süderheistedt;-;-;-
30.09.2015;01051113;Wöhrden;2;.;.
30.09.2015;01051114;Tellingstedt;0;0;0
30.09.2015;01051117;Tielenhemme;0;0;0
30.09.2015;01051118;Trennewurth;0;0;0
30.09.2015;01051119;Volsemenhusen;0;0;0
30.09.2015;01051120;Wallen;0;0;0
30.09.2015;01051121;Warwerort;0;0;0
30.09.2015;01051122;Weddingstedt;4;244;7128
30.09.2015;01051125;Welmbüttel;0;0;0
30.09.2015;01051126;Wennbüttel;0;0;0
30.09.2015;01051127;Wesselburen;1;.;.
30.09.2015;01051128;Wesselburener Deichhausen;0;0;0
30.09.2015;01051129;Wesselburenerkoog;0;0;0
30.09.2015;01051130;Wesseln;1;.;.
30.09.2015;01051131;Westerborstel;0;0;0
30.09.2015;01051132;Westerdeichstrich;0;0;0
30.09.2015;01051133;Wiemerstedt;0;0;0
30.09.2015;01051134;Windbergen;0;0;0
30.09.2015;01051135;Wolmersdorf;0;0;0
30.09.2015;01051136;Wrohm;0;0;0
30.09.2015;01051137;Nordermeldorf;0;0;0
30.09.2015;01051138;Tensbüttel-Röst;0;0;0
30.09.2015;01051139;Süderdorf;0;0;0
30.09.2015;01051140;Oesterwurth;0;0;0
30.09.2015;01051141;Süderheistedt;0;0;0
30.09.2015;01053001;Albsfelde;0;0;0
30.09.2015;01053002;Alt Mölln;0;0;0
30.09.2015;01053003;Aumühle;3;154;.
30.09.2015;01053004;Bäk;1;.;.
30.09.2015;01053005;Bälau;0;0;0
30.09.2015;01053006;Basedow;0;0;0
30.09.2015;01053007;Basthorst;0;0;0
30.09.2015;01053008;Behlendorf;0;0;0
30.09.2015;01053009;Berkenthin;0;0;0
30.09.2015;01053010;Besenthal;0;0;0
30.09.2015;01053011;Bliestorf;0;0;0
30.09.2015;01053012;Börnsen;4;156;6316
30.09.2015;01053013;Borstorf;0;0;0
30.09.2015;01053014;Breitenfelde;1;.;.
30.09.2015;01053015;Bröthen;0;0;0
30.09.2015;01053016;Brunsmark;0;0;0
30.09.2015;01053017;Brunstorf;1;.;.
30.09.2015;01053018;Buchholz;0;0;0
30.09.2015;01053019;Buchhorst;1;.;.
30.09.2015;01053020;Büchen;8;1026;52534
30.09.2015;01053021;Dahmker;0;0;0
30.09.2015;01053022;Dalldorf;0;0;0
30.09.2015;01053023;Dassendorf;0;0;0
30.09.2015;01053024;Düchelsdorf;0;0;0
30.09.2015;01053025;Duvensee;0;0;0
30.09.2015;01053026;Einhaus;0;0;0
30.09.2015;01053027;Elmenhorst;3;180;6225
30.09.2015;01053028;Escheburg;0;0;0
30.09.2015;01053029;Fitzen;0;0;0
30.09.2015;01053030;Fredeburg;0;0;0
30.09.2015;01053031;Fuhlenhagen;0;0;0
30.09.2015;01053032;Geesthacht;20;1356;55095
30.09.2015;01053033;Giesensdorf;0;0;0
30.09.2015;01053034;Göldenitz;0;0;0
30.09.2015;01053035;Göttin;0;0;0
30.09.2015;01053036;Grabau;0;0;0
30.09.2015;01053037;Grambek;0;0;0
30.09.2015;01053038;Grinau;0;0;0
30.09.2015;01053039;Groß Boden;0;0;0
30.09.2015;01053040;Groß Disnack;0;0;0
