GENESIS-Tabelle: 46241-01-03-5-B
Straßenverkehrsunfälle, verunglückte Personen;;;;;;;
- Jahressumme - regionale Ebenen;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;
2015;;;;;;;
;;Unfälle (insgesamt);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i. e. S.;Sons.Sachschadensunf.unter d.Einfl.berausch.Mittel;Getötete Personen;Verletzte Personen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;418;333;69;16;0;423
01002000;Kiel, krsfr. Stadt;1344;1182;131;31;6;1481
01003000;Lübeck, krsfr. Stadt;1487;1277;169;41;4;1524
01004000;Neumünster, krsfr. Stadt;492;419;57;16;0;553
01051001;Albersdorf;18;13;5;0;0;15
01051002;Arkebek;5;1;3;1;0;1
01051003;Averlak;1;0;1;0;0;0
01051004;Bargenstedt;4;1;2;1;0;3
01051005;Barkenholm;0;0;0;0;0;0
01051006;Barlt;6;4;2;0;0;6
01051008;Bergewöhrden;1;1;0;0;0;1
01051010;Brickeln;1;1;0;0;0;1
01051011;Brunsbüttel;65;49;11;5;0;64
01051012;Buchholz;3;3;0;0;0;3
01051013;Büsum;17;13;4;0;0;16
01051014;Büsumer Deichhausen;1;1;0;0;0;1
01051015;Bunsoh;1;1;0;0;0;1
01051016;Burg (Dithmarschen);15;11;3;1;0;11
01051017;Busenwurth;2;2;0;0;0;3
01051019;Dellstedt;2;2;0;0;0;2
01051020;Delve;2;0;2;0;0;0
01051021;Diekhusen-Fahrstedt;6;5;1;0;0;12
01051022;Dingen;4;3;1;0;0;4
01051023;Dörpling;1;1;0;0;0;1
01051024;Eddelak;4;3;1;0;0;3
01051026;Eggstedt;3;3;0;0;0;4
01051027;Elpersbüttel;4;4;0;0;0;7
01051028;Epenwöhrden;4;2;2;0;0;3
01051030;Fedderingen;1;0;0;1;0;0
01051032;Frestedt;1;1;0;0;0;1
01051033;Friedrichsgabekoog;1;1;0;0;0;4
01051034;Friedrichskoog;15;10;4;1;1;14
01051035;Gaushorn;0;0;0;0;0;0
01051036;Glüsing;1;1;0;0;0;5
01051037;Großenrade;0;0;0;0;0;0
01051038;Groven;1;1;0;0;0;2
01051039;Gudendorf;2;2;0;0;0;2
01051040;Hägen;-;-;-;-;-;-
01051043;Hedwigenkoog;0;0;0;0;0;0
01051044;Heide;147;120;24;3;0;143
01051045;Hellschen-Heringsand-Unterschaar;0;0;0;0;0;0
01051046;Helse;8;5;1;2;0;5
01051047;Hemme;1;1;0;0;0;1
01051048;Hemmingstedt;19;16;3;0;0;20
01051049;Hennstedt;9;9;0;0;0;11
01051050;Hillgroven;0;0;0;0;0;0
01051051;Hochdonn;3;3;0;0;0;3
01051052;Hövede;0;0;0;0;0;0
01051053;Hollingstedt;0;0;0;0;0;0
01051054;Immenstedt;3;2;1;0;0;2
01051057;Kaiser-Wilhelm-Koog;0;0;0;0;0;0
01051058;Karolinenkoog;1;1;0;0;0;1
01051060;Kleve, Dithmarschen;2;2;0;0;0;2
01051061;Krempel;5;5;0;0;0;6
01051062;Kronprinzenkoog;5;5;0;0;0;5
01051063;Krumstedt;2;2;0;0;0;2
01051064;Kuden;1;1;0;0;0;1
01051065;Lehe;1;1;0;0;0;1
01051067;Lieth;3;2;0;1;0;2
01051068;Linden;3;3;0;0;0;4
01051069;Lohe-Rickelshof;9;7;2;0;0;9
01051071;Lunden;4;2;2;0;0;5
01051072;Marne;22;18;3;1;0;22
01051073;Marnerdeich;0;0;0;0;0;0
01051074;Meldorf;42;35;7;0;0;40
01051075;Neuenkirchen;12;12;0;0;0;20
01051076;Neufeld;3;2;1;0;0;2
01051077;Neufelderkoog;0;0;0;0;0;0
01051078;Nindorf;2;2;0;0;0;3
01051079;Norddeich;1;1;0;0;0;3
01051080;Norderheistedt;0;0;0;0;0;0
01051081;Norderwöhrden;13;9;4;0;0;17
01051082;Nordhastedt;9;7;2;0;0;8
01051083;Odderade;0;0;0;0;0;0
01051084;Oesterdeichstrich;2;2;0;0;0;2
01051085;Offenbüttel;1;1;0;0;0;1
01051086;Osterrade;1;0;1;0;0;0
01051087;Ostrohe;2;2;0;0;0;2
01051088;Pahlen;6;5;1;0;0;5
01051089;Quickborn;1;1;0;0;0;1
01051090;Ramhusen;0;0;0;0;0;0
01051092;Rehm-Flehde-Bargen;1;1;0;0;0;2
01051093;Reinsbüttel;0;0;0;0;0;0
01051096;Sankt Annen;3;2;1;0;0;3
01051097;Sankt Michaelisdonn;19;17;1;1;0;20
01051098;Sarzbüttel;1;1;0;0;0;1
01051099;Schafstedt;7;5;2;0;0;5
01051100;Schalkholz;4;4;0;0;0;8
01051102;Schlichting;3;1;2;0;0;1
01051103;Schmedeswurth;2;2;0;0;0;2
01051104;Schrum;0;0;0;0;0;0
01051105;Schülp;1;0;1;0;0;0
01051107;Stelle-Wittenwurth;3;2;1;0;1;2
01051108;Strübbel;0;0;0;0;0;0
01051109;Süderdeich;1;1;0;0;0;1
01051110;Süderhastedt;5;1;4;0;0;1
01051111;Süderheistedt;-;-;-;-;-;-
01051113;Wöhrden;10;8;1;1;0;9
01051114;Tellingstedt;15;13;1;1;0;18
01051117;Tielenhemme;0;0;0;0;0;0
01051118;Trennewurth;2;2;0;0;0;2
01051119;Volsemenhusen;3;2;1;0;1;2
01051120;Wallen;1;1;0;0;0;1
01051121;Warwerort;2;1;1;0;0;4
01051122;Weddingstedt;8;8;0;0;0;9
01051125;Welmbüttel;1;1;0;0;0;1
01051126;Wennbüttel;0;0;0;0;0;0
01051127;Wesselburen;11;9;1;1;0;9
01051128;Wesselburener Deichhausen;4;3;1;0;0;3
01051129;Wesselburenerkoog;1;1;0;0;0;1
01051130;Wesseln;6;6;0;0;0;7
01051131;Westerborstel;0;0;0;0;0;0
01051132;Westerdeichstrich;4;3;0;1;0;6
01051133;Wiemerstedt;1;1;0;0;0;1
01051134;Windbergen;4;2;2;0;0;3
01051135;Wolmersdorf;0;0;0;0;0;0
01051136;Wrohm;3;1;2;0;0;3
01051137;Nordermeldorf;3;3;0;0;0;5
01051138;Tensbüttel-Röst;6;6;0;0;0;7
01051139;Süderdorf;6;5;1;0;0;7
01051140;Oesterwurth;3;2;0;1;0;3
01051141;Süderheistedt;1;1;0;0;0;1
01053001;Albsfelde;0;0;0;0;0;0
01053002;Alt Mölln;12;10;2;0;0;14
01053003;Aumühle;20;13;7;0;0;19
01053004;Bäk;1;1;0;0;0;1
01053005;Bälau;3;3;0;0;0;3
01053006;Basedow;4;4;0;0;0;4
01053007;Basthorst;6;6;0;0;0;7
01053008;Behlendorf;2;2;0;0;0;2
01053009;Berkenthin;6;6;0;0;0;6
01053010;Besenthal;10;9;1;0;0;12
01053011;Bliestorf;1;1;0;0;0;1
01053012;Börnsen;12;10;2;0;0;12
01053013;Borstorf;2;1;1;0;0;1
01053014;Breitenfelde;17;12;3;2;0;15
01053015;Bröthen;1;0;0;1;0;0
01053016;Brunsmark;3;1;2;0;0;1
01053017;Brunstorf;7;7;0;0;0;8
01053018;Buchholz;1;1;0;0;0;6
01053019;Buchhorst;0;0;0;0;0;0
01053020;Büchen;18;17;0;1;0;21
01053021;Dahmker;0;0;0;0;0;0
01053022;Dalldorf;0;0;0;0;0;0
01053023;Dassendorf;14;10;4;0;0;14
01053024;Düchelsdorf;0;0;0;0;0;0
01053025;Duvensee;2;1;1;0;0;2
01053026;Einhaus;1;1;0;0;0;4
01053027;Elmenhorst;16;10;4;2;2;13
01053028;Escheburg;16;12;3;1;0;16
01053029;Fitzen;1;1;0;0;0;1
01053030;Fredeburg;7;5;1;1;0;9
01053031;Fuhlenhagen;6;2;4;0;0;2
01053032;Geesthacht;123;109;10;4;0;147
01053033;Giesensdorf;0;0;0;0;0;0
01053034;Göldenitz;2;2;0;0;0;3
