GENESIS-Tabelle: 71517-01-03-5-B
Bruttoeinnahmen der Gemeinden - Jahressumme -;;;;;;;;;;
regionale Ebenen;;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;;
2014;;;;;;;;;;
;;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden
;;;Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden)
;;;Einnahmen des Verwaltungshaushalts, insgesamt;Steuern und steuerähnliche Einnahmen;allgem. Zuweisung,Umlagen v.Bund,Land,Gemeinden/GV;Gebühren und zweckgebundene Abgaben;Einnahmen des Vermögenshaushalts, insgesamt;Beiträge und ähnliche Entgelte;Zuweisungen, Zuschüsse f.Investitionsförderungen..;Kredite und innere Darlehen
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
01001000;Flensburg, krsfr. Stadt;318045517;258386816;72551794;65895746;14134987;59658701;274122;5646966;3400000
01002000;Kiel, krsfr. Stadt;770491068;649684541;174062212;172009064;57109160;120806527;1880466;4216117;105114733
01003000;Lübeck, krsfr. Stadt;793191457;709464056;198134214;197617784;40639643;83727401;388601;18678768;49550000
01004000;Neumünster, krsfr. Stadt;264575255;240320451;68303762;58498803;30686506;24254804;520029;1359403;19861347
01051001;Albersdorf;5638882;5527205;2524678;1565860;781697;111677;23517;38753;48693
01051002;Arkebek;243459;236929;135685;80256;0;6530;0;0;0
01051003;Averlak;734731;724831;310619;213970;111848;9900;0;0;0
