GENESIS-Tabelle: 71517-02-03-5-B
Bruttoausgaben der Gemeinden - Jahressumme -;;;;;;;;;
regionale Ebenen;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;
2014;;;;;;;;;
;;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Nettoausgaben der Gemeinden
;;;Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);
;;;Ausgaben des Verwaltungshaushalts, insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben des Vermögenshaushalts, insgesamt;Tilgung v.Krediten,Rückzahlungen v.inneren Darleh.;Ausgaben für Sachinvestitionen;
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
01001000;Flensburg, krsfr. Stadt;369443644;305716258;58803693;46901745;63727386;1444068;3306415;212339314
01002000;Kiel, krsfr. Stadt;891204858;749948449;217181266;132789742;141256409;100006062;37431855;538413351
01003000;Lübeck, krsfr. Stadt;752333758;667066977;162447100;120739827;85266781;35616641;34090232;356487935
01004000;Neumünster, krsfr. Stadt;247535948;213724540;63264780;34192267;33811408;12037870;20705509;128799288
01051001;Albersdorf;6721892;6412548;554861;694677;309344;183459;49341;4882152
01051002;Arkebek;226859;226279;4394;36183;580;0;209;145019
01051003;Averlak;758076;684879;99648;122449;73197;3936;52027;508112
01051004;Bargenstedt;1138450;886975;62839;164480;251475;13371;142734;931872
01051005;Barkenholm;171794;149844;4432;7249;21950;0;0;112367
01051006;Barlt;1138388;908676;59341;171378;229712;36697;30302;716149
01051008;Bergewöhrden;48024;37840;2001;6655;10184;0;0;40422
01051010;Brickeln;183075;178456;6881;10853;4619;1250;0;71149
01051011;Brunsbüttel;34982352;28113942;8377576;11008306;6868410;368916;2683158;27491035
01051012;Buchholz;1147573;1046671;186212;97228;100902;0;122171;639832
01051013;Büsum;13909905;13427680;4470719;4079199;482225;86873;357507;9398566
01051014;Büsumer Deichhausen;787684;453659;86798;55981;334025;0;9025;382728
01051015;Bunsoh;992673;820051;32519;98194;172622;7283;67668;677926
01051016;Burg (Dithmarschen);6154094;5851260;699298;2032777;302834;73300;118299;3867698
01051017;Busenwurth;384077;325631;11420;82793;58446;8742;24367;278840
01051019;Dellstedt;793274;716209;32937;103839;77065;63900;8115;434417
01051020;Delve;842230;767805;103976;172385;74425;0;73222;472707
01051021;Diekhusen-Fahrstedt;800645;800645;12363;98411;0;0;0;531837
01051022;Dingen;732056;711402;59402;132054;20654;0;3398;599483
01051023;Dörpling;542554;523688;6920;66136;18866;5132;3999;272873
01051024;Eddelak;1604593;1564018;72364;353437;40575;0;23319;1164430
01051026;Eggstedt;686559;679280;51133;64309;7279;6528;751;350409
01051027;Elpersbüttel;1123793;868502;67292;99923;255291;20457;23148;852909
01051028;Epenwöhrden;1040085;821155;190012;112721;218930;38806;98222;573197
01051030;Fedderingen;289191;232449;10477;21520;56742;0;36692;229263
01051032;Frestedt;343127;333973;8599;51588;9154;6705;2449;169980
01051033;Friedrichsgabekoog;247941;150665;3464;20038;97276;0;97276;67463
01051034;Friedrichskoog;5156378;4869759;35534;1164544;286619;147200;138023;4575681
01051035;Gaushorn;183770;162997;3812;16970;20773;0;0;132580
01051036;Glüsing;173920;151775;4373;16937;22145;0;928;168711
01051037;Großenrade;397462;397102;11712;34525;360;0;360;155588
01051038;Groven;109970;89194;4418;8553;20776;0;0;77407
01051039;Gudendorf;500883;374153;33868;53607;126730;17185;21919;425562
01051040;Hägen;-;-;-;-;-;-;-;-
01051043;Hedwigenkoog;472225;457522;44103;124703;14703;0;14703;453480
01051044;Heide;33500004;30952395;8984872;6955480;2547609;687175;1248445;24147606
01051045;Hellschen-Heringsand-Unterschaar;317635;281840;5164;58953;35795;542;15253;308026
01051046;Helse;953244;953244;24124;70331;0;0;0;637046
01051047;Hemme;793155;762038;48574;100672;31117;29080;-2393;756575
01051048;Hemmingstedt;7066945;5339712;570686;1954750;1727233;469088;1258145;6189387
01051049;Hennstedt;2846569;2361518;313821;358415;485051;6000;325918;2082454
01051050;Hillgroven;167324;166687;3339;13701;637;447;190;164753
01051051;Hochdonn;1440253;1424202;282781;314241;16051;0;16051;764863
01051052;Hövede;59270;49187;3297;1843;10083;0;0;40461
01051053;Hollingstedt;304494;284444;10521;44326;20050;0;0;191951
01051054;Immenstedt;124153;92885;4978;8611;31268;0;0;98158
01051057;Kaiser-Wilhelm-Koog;683603;680508;10285;72724;3095;0;824;671613
01051058;Karolinenkoog;148948;128351;4791;8465;20597;0;0;143202
01051060;Kleve, Dithmarschen;434471;398420;15648;64171;36051;0;10611;301096
01051061;Krempel;590660;516756;54121;51989;73904;0;71525;253696
01051062;Kronprinzenkoog;1959793;1350104;19675;186669;609689;0;329689;1925231
01051063;Krumstedt;949479;471471;17130;80755;478008;31381;384677;775253
01051064;Kuden;618741;609276;66541;87643;9465;0;4465;305832
01051065;Lehe;939624;875989;72549;57389;63635;9825;25557;475830
01051067;Lieth;1483882;1424181;54755;1073639;59701;0;57201;1102382
01051068;Linden;1052792;1028664;285291;118388;24128;0;3569;602367
01051069;Lohe-Rickelshof;2738077;2296870;598298;286526;441207;15756;393974;1805101
01051071;Lunden;2489166;1804888;143967;338176;684278;108054;570087;1170442
01051072;Marne;8472651;7605116;148265;947828;867535;352049;515486;6702285
01051073;Marnerdeich;444953;406586;11022;6960;38367;0;38367;304815
01051074;Meldorf;12114655;9440733;1195925;1363505;2673922;317324;1830229;9568712
01051075;Neuenkirchen;1303791;1087383;183629;155723;216408;8500;201453;991492
01051076;Neufeld;724149;692520;18026;116131;31629;0;3816;526835
01051077;Neufelderkoog;175446;175446;5808;7733;0;0;0;168540
01051078;Nindorf;1519920;1247291;80530;225169;272629;40711;221274;1214050
01051079;Norddeich;432306;431358;9226;63796;948;948;0;306106
01051080;Norderheistedt;143120;123070;3990;8920;20050;0;0;69561
01051081;Norderwöhrden;558678;462201;6948;59128;96477;0;80477;216660
01051082;Nordhastedt;3569427;3039809;308648;439486;529618;128723;400895;2371357
01051083;Odderade;377923;288612;9193;23787;89311;35075;975;265069
01051084;Oesterdeichstrich;307349;252546;4657;20754;54803;0;0;246723
01051085;Offenbüttel;451089;275664;8707;36839;175425;2839;33391;294366
01051086;Osterrade;700175;392601;10680;60464;307574;32296;58145;500238
01051087;Ostrohe;931181;889428;141113;159609;41753;14214;27539;532533
01051088;Pahlen;1464917;1260147;103522;118745;204770;11055;161865;957757
01051089;Quickborn;282362;180607;11736;40491;101755;0;101755;200416
01051090;Ramhusen;169709;169709;3254;9211;0;0;0;119564
01051092;Rehm-Flehde-Bargen;769190;626693;52521;99900;142497;0;115999;631042
01051093;Reinsbüttel;447393;447393;12875;57574;0;0;0;340982
01051096;Sankt Annen;359453;307540;9226;50690;51913;0;30444;215431
01051097;Sankt Michaelisdonn;4536117;4154777;260885;1037247;381340;129105;231258;3484019
01051098;Sarzbüttel;1181956;858873;63640;132398;323083;191701;11998;852135
01051099;Schafstedt;1349755;1272436;58439;169144;77319;8913;55690;877185
01051100;Schalkholz;587750;532229;46627;39497;55521;1411;53542;339805
01051102;Schlichting;241337;216028;10240;38435;25309;0;5259;166106
01051103;Schmedeswurth;204164;204164;4876;11221;0;0;0;123055
01051104;Schrum;101734;80832;3933;6548;20902;375;13736;86048
01051105;Schülp;620757;615199;19417;80918;5558;1519;4039;593746
01051107;Stelle-Wittenwurth;457354;445089;19497;96089;12265;0;1865;277977
01051108;Strübbel;84896;83679;4032;4871;1217;220;997;76183
01051109;Süderdeich;436398;420501;12639;26208;15897;12797;3100;285750
01051110;Süderhastedt;813789;763245;56899;67398;50544;25000;25544;340330
01051111;Süderheistedt;-;-;-;-;-;-;-;-
01051113;Wöhrden;1882947;1395039;135353;326505;487908;55855;421584;1571842
01051114;Tellingstedt;3093253;2841906;206301;267938;251347;82415;171206;2196112
01051117;Tielenhemme;145422;145169;6832;15756;253;0;0;72416
01051118;Trennewurth;281698;281698;8153;38247;0;0;0;231868
01051119;Volsemenhusen;394778;394778;7867;20456;0;0;0;325513
01051120;Wallen;38737;28577;3112;1585;10160;0;0;30325
01051121;Warwerort;355827;334822;4817;125689;21005;0;21005;239517
01051122;Weddingstedt;2946247;2576052;317864;346976;370195;5726;358669;2582956
01051125;Welmbüttel;436081;392082;12597;43007;43999;0;25376;173826
01051126;Wennbüttel;99670;86874;3567;8935;12796;0;0;71350
01051127;Wesselburen;4123518;3616428;436694;512155;507090;116053;343346;2484516
01051128;Wesselburener Deichhausen;147821;123784;5066;11031;24037;344;7693;132227
01051129;Wesselburenerkoog;164437;162067;3494;33333;2370;370;0;140908
01051130;Wesseln;2184114;1536082;177287;204676;648032;0;645928;1926376
01051131;Westerborstel;157749;108032;4273;16128;49717;0;29609;146340
01051132;Westerdeichstrich;1149579;1107654;155760;180857;41925;-2581;44506;908178
01051133;Wiemerstedt;143462;132995;3254;13723;10467;0;0;79274
01051134;Windbergen;1339866;1029007;64588;273976;310859;26159;38590;874353
01051135;Wolmersdorf;569607;314375;17804;32227;255232;9100;104280;446531
01051136;Wrohm;1193167;775145;32330;88717;418022;36362;366368;910362
01051137;Nordermeldorf;678575;616127;49990;61103;62448;3431;1616;568792
01051138;Tensbüttel-Röst;624324;619182;10884;54347;5142;4201;941;313917
01051139;Süderdorf;353472;324968;8670;49726;28504;7500;954;194467
01051140;Oesterwurth;289712;271895;5317;26968;17817;701;17116;263989
01051141;Süderheistedt;601153;574646;102401;57515;26507;0;5116;437598
01053001;Albsfelde;65609;64068;3889;5270;1541;134;0;53477
01053002;Alt Mölln;1071743;1036325;88453;165106;35418;25929;9183;898234
01053003;Aumühle;5603544;3859783;328599;797813;1743761;52460;551538;5226582
01053004;Bäk;1195942;873929;39393;71918;322013;7196;290546;974929
01053005;Bälau;250645;249789;15288;55900;856;0;856;195454
01053006;Basedow;700182;693890;27215;204384;6292;0;6292;422731
01053007;Basthorst;629071;497708;28400;116251;131363;4733;2646;518008
01053008;Behlendorf;550345;397217;14091;30917;153128;0;66606;448037
01053009;Berkenthin;3707009;2705810;168193;416949;1001199;32421;521879;2460721
01053010;Besenthal;160490;103666;5940;27395;56824;5000;0;128618
01053011;Bliestorf;716320;669410;25454;90593;46910;5663;4716;459044
01053012;Börnsen;6659212;5568542;1236216;820714;1090670;92948;997722;5106477
01053013;Borstorf;316451;266621;14481;54178;49830;46118;3712;209383
01053014;Breitenfelde;3225955;1789930;116677;247480;1436025;890293;545732;2394628
01053015;Bröthen;530833;316843;13932;45654;213990;20106;149684;458413
01053016;Brunsmark;158003;135556;7425;23420;22447;5000;8114;101752
